WALIS LUM ID,Is this datapoint public?,Luminescence method,IGSN,Reference (s),Sample ID,Analysis ID,Reported ID,Laboratory name,Mineral type,Grain size,Date of analysis,Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Sample latitude (decimal degrees),Sample longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Comments on elevation,Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation or age,Age (ka),Age uncertainty (ka),Aliquot size,Equivalent Dose measurement protocol,Treatment during measurement,Statistical model for burial dose,Machine type,Detection unit,Stimulation unit,Optical Filters used for Detection,Number of aliquots/ single grains run,Number of aliquots/ single grains used in sample,Uncertainty level,Equivalent dose (Gy),Equivalent dose uncertainty (Gy),Overdispersion value (%),Overdispersion value uncertainty (%),Depth of burial (m),Approach of dose rate dermination,Uncertainty levels,Uranium content (ppm),Uranium content uncertainty (ppm),Thorium content (ppm),Thorium content uncertainty (ppm),Potassium content (%),Potassium content uncertainty (%),Rubidium content (ppm),Rubidium content uncertainty (ppm),Alpha dose rate (Gy/ka),Alpha dose rate uncertainty (Gy/ka),Gamma dose rate (Gy/ka),Gamma dose rate uncertainty (Gy/ka),Beta dose rate (Gy/ka),Beta dose rate uncertainty (Gy/ka),Cosmic dose rate (Gy/ka),Cosmic dose rate uncertainty (Gy/ka),Field water content (% of dry mass),Water content determination method,Water Content used in Final Age Calculation (% of dry mass),Water Content used in Final Age Calculation  uncertainty (% of dry mass),Alpha attenuation factor,Dose Rate conversion factors,Total dose rate (Gy/Ka),Total dose rate uncertainty (Gy/ka),Was fading correction applied?,Method of fading correction,g-value (% per decade),g-value (±1σ) (% per decade),Comments,Record created by,Record updated by,Last Update
278,1,TL,,"Bateman and Catt, 1996",BA96-001,005,Shfd95017/5,Sheffield Luminescence Dating Laboratory,Feldspar,,,Yes,,TA198685,,54.098457,-0.169500,No,OD (Ordnance Datum Newlyn),Not reported,5,N/A,4.8,N/A,"Elevation indicated as in the sand ~1 m above the 2-4 m OD beach (no elevation uncertainty is reported). OD is ~0.2 m below modern MSL at Newlyn (note, not Yorkshire).",Equal to,"MIS 5e, MIS 5d",TL date from Table 2 in paper,121.95,9.04,,,,,,,,,N/A,N/A,undefined,103.84,4.70,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha Barlow,Natasha Barlow,2021-03-17 14:29:11
279,1,OSL,,"Bateman and Catt, 1996",BA96-001,006,Shfd95017/6,Sheffield Luminescence Dating Laboratory,Quartz,,,Yes,,TA198685,,54.098457,-0.169500,No,OD (Ordnance Datum Newlyn),Not reported,5,N/A,4.8,N/A,"Elevation indicated as in the sand ~1 m above the 2-4 m OD beach (no elevation uncertainty is reported). OD is ~0.2 m below modern MSL at Newlyn (note, not Yorkshire).",Equal to,"MIS 5e, MIS 5d",OSL date from Table 2 in paper,119.70,22.24,,,,,,,,,N/A,N/A,undefined,92.81,17.00,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha Barlow,Natasha Barlow,2021-03-17 14:29:23
280,1,OSL,,"Bateman and Catt, 1996",BA96-001,007,Shfd95017/7,Sheffield Luminescence Dating Laboratory,Quartz,,,Yes,,TA198685,,54.098457,-0.169500,No,OD (Ordnance Datum Newlyn),Not reported,5,N/A,4.8,N/A,"Elevation indicated as in the sand ~1 m above the 2-4 m OD beach (no elevation uncertainty is reported). OD is ~0.2 m below modern MSL at Newlyn (note, not Yorkshire).",Equal to,"MIS 5e, MIS 5d",OSL date from Table 2 in paper,119.53,9.97,Single grain,,,,,,,,N/A,N/A,undefined,92.68,4.90,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha Barlow,Natasha Barlow,2021-03-17 14:29:35
221,1,IRSL,,"Ito et al., 2017
 Tam and Yokoyama, 2021",IT,017,GSJ14-017,,Feldspar,Coarse grains (sand),,Yes,,,,40.759100,141.235200,Yes,N/A,"dGPS, hand level and tape",10.4,.5,N/A,N/A,,Equal to,MIS 5,,126.00,3.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Tam,Evan Tam,2020-10-11 10:53:41
384,1,OSL,,"Alexanderson et al., 2011a
 Alexanderson et al., 2011b",AL11-001,AL11-001-001,081328,Nordic Laboratory for Luminescence dating,Quartz,Fine grains (Silt),2008-01-01 00:00:00,Yes,,,,78.882000,11.557000,No,Mean Sea Level / General definition,Cross-section from publication,19,3,N/A,N/A,"Altitudes were measured using a Garmin eTrex Vista C GPS, which has a vertical uncertainty of 3 m, and complimented with a Paulin barometric altimeter. The elevation is derived from a composite section. The OSL samples were taken from a thin unit at about 19 m. The uncertainty is taken from the GPS unit.",Equal to,MIS 5e,Mean age of the sample. The three-parameter minimum age model gives an age of 123+/-9,129.00,10.00,Each aliquot contained 1500-2000 grains,single aliquot regenerative (SAR),preheat to 220/180 degrees,central age,Risø TL/OSL-readers,,,7 mm of U340 glass filter,23,3,1-sigma,98,4,18,,14,gamma spectrometry data,1-sigma,,,,,,,,,,,0.33,0.02,0.6,0.04,,,32,cylinder volumeter,,,,,0.76,0.05,,,,,Sample taken from a beachface facies.,Evan Gowan,Evan Gowan,2021-03-24 15:17:52
385,1,OSL,,"Alexanderson et al., 2011a
 Alexanderson et al., 2011b",AL11-002,AL11-002-001,081329,Nordic Laboratory for Luminescence dating,Quartz,Fine grains (Silt),2008-01-01 00:00:00,Yes,,,,78.882000,11.557000,No,Mean Sea Level / General definition,Cross-section from publication,19,3,N/A,N/A,"Altitudes were measured using a Garmin eTrex Vista C GPS, which has a vertical uncertainty of 3 m, and complimented with a Paulin barometric altimeter. The elevation is derived from a composite section. The OSL samples were taken from a thin unit at about 19 m. The uncertainty is taken from the GPS unit.",Equal to,MIS 5e,Mean age of the sample. The three-parameter minimum age model gives an age of 121+/-8 ka,122.00,8.00,Each aliquot contained 1500-2000 grains,single aliquot regenerative (SAR),preheat to 220/180 degrees,central age,Risø TL/OSL-readers,,,7 mm of U340 glass filter,23,3,1-sigma,116,4,12,,14.5,gamma spectrometry data,1-sigma,,,,,,,,,,,0.40,0.01,0.69,0.02,,,22,cylinder volumeter,,,,,0.94,0.05,,,,,Sample taken from a shoreface facies.,Evan Gowan,Evan Gowan,2021-03-24 15:17:27
386,1,OSL,,"Alexanderson et al., 2011a
 Alexanderson et al., 2011b",AL11-003,AL11-003-001,081330,Nordic Laboratory for Luminescence dating,Quartz,Fine grains (Silt),2008-01-01 00:00:00,Yes,,,,78.882000,11.557000,No,Mean Sea Level / General definition,Cross-section from publication,19,3,N/A,N/A,"Altitudes were measured using a Garmin eTrex Vista C GPS, which has a vertical uncertainty of 3 m, and complimented with a Paulin barometric altimeter. The elevation is derived from a composite section. The OSL samples were taken from a thin unit at about 19 m. The uncertainty is taken from the GPS unit.",Equal to,MIS 5e,Mean age of the sample. The three-parameter minimum age model gives an age of 113+/-8 ka,122.00,10.00,Each aliquot contained 1500-2000 grains,single aliquot regenerative (SAR),preheat to 220/180 degrees,central age,Risø TL/OSL-readers,,,7 mm of U340 glass filter,23,3,1-sigma,121,7,23,,14.5,gamma spectrometry data,1-sigma,,,,,,,,,,,0.47,0.02,0.77,0.04,,,30,cylinder volumeter,,,,,0.99,0.05,,,,,Sample taken from a shoreface facies.,Evan Gowan,Evan Gowan,2021-03-24 15:20:18
387,1,OSL,,"Alexanderson et al., 2011a
 Alexanderson et al., 2011b",AL11-004,AL11-004-001,081335,Nordic Laboratory for Luminescence dating,Quartz,Fine grains (Silt),2008-01-01 00:00:00,Yes,,,,78.882000,11.557000,No,Mean Sea Level / General definition,Cross-section from publication,19,3,N/A,N/A,"Altitudes were measured using a Garmin eTrex Vista C GPS, which has a vertical uncertainty of 3 m, and complimented with a Paulin barometric altimeter. The elevation is derived from a composite section. The OSL samples were taken from a thin unit at about 19 m. The uncertainty is taken from the GPS unit.",Equal to,MIS 5e,Mean age of the sample. The three-parameter minimum age model gives an age of 135+/-9 ka,143.00,9.00,Each aliquot contained 1500-2000 grains,single aliquot regenerative (SAR),preheat to 220/180 degrees,central age,Risø TL/OSL-readers,,,7 mm of U340 glass filter,23,3,1-sigma,134,5,16,,14.5,gamma spectrometry data,1-sigma,,,,,,,,,,,0.43,0.01,0.73,0.02,,,30,cylinder volumeter,,,,,0.94,0.54,,,,,Sample taken from a shoreface facies.,Evan Gowan,Evan Gowan,2021-03-24 15:22:49
390,1,OSL,,"Alexanderson et al., 2013",AL13-001,AL13-001-001,H81318,Nordic Laboratory of Luminescence Dating,Quartz,Coarse grains (sand),2012-01-01 00:00:00,Yes,,,,79.030000,11.880000,No,Mean Sea Level / General definition,Cross-section from publication,3,2,N/A,N/A,"It is not certain if they measured the exact elevation of the sample, but they placed the elevation of the sample on the cross section created in Andersson et al 1999, which has elevations measured using a barometer with a stated accuracy of 2 m. We have used this as the uncertainty.",Equal to,MIS 5e,,118.00,13.00,At least 24 aliquots were measured,single aliquot regenerative (SAR),Treated with HCL to remove carbondates and H2O2 to remove organic material.,central age,Risø TL/OSL-readers,,,7 mm of U340 glass filter,28,22,1-sigma,108.2,10.3,36,,6.5,gamma spectrometry data,1-sigma,,,,,,,,,,,,,,,,,31,cylinder volumeter,,,,,0.92,0.04,,,,,Sample was laminated marine sand. Grain size was 0.18-0.25 mm.,Evan Gowan,Evan Gowan,2021-03-30 15:33:21
391,1,OSL,,"Alexanderson et al., 2013",AL13-002,AL13-002-001,H81319,Nordic Laboratory of Luminescence Dating,Quartz,Coarse grains (sand),2012-01-01 00:00:00,Yes,,,,79.030000,11.880000,No,Mean Sea Level / General definition,Cross-section from publication,4,2,N/A,N/A,"It is not certain if they measured the exact elevation of the sample, but they placed the elevation of the sample on the cross section created in Andersson et al 1999, which has elevations measured using a barometer with a stated accuracy of 2 m. We have used this as the uncertainty.",Equal to,MIS 5e,"Age is a bit younger than MIS 5e, but a MIS 5e age was assigned based on stratigraphic position and fossil data.",105.00,10.00,At least 24 aliquots were measured,single aliquot regenerative (SAR),Treated with HCL to remove carbondates and H2O2 to remove organic material.,central age,Risø TL/OSL-readers,,,7 mm of U340 glass filter,24,21,1-sigma,116.3,9.5,32,,5.5,gamma spectrometry data,1-sigma,,,,,,,,,,,,,,,,,33,cylinder volumeter,,,,,1.11,0.05,,,,,Sample was laminated marine sand. Grain size was 0.18-0.25 mm.,Evan Gowan,Evan Gowan,2021-03-30 15:36:38
388,1,OSL,,"Alexanderson et al., 2011a
 Alexanderson et al., 2018",AL18-001,AL18-001-001,L-14036,Lund Luminescence Laboratory,Quartz,Fine grains (Silt),2014-01-01 00:00:00,Yes,,79.03,11.88,78.882000,11.557000,No,Mean Sea Level / General definition,Cross-section from publication,28.5,3,N/A,N/A,"Altitudes were measured using a Garmin eTrex Vista C GPS, which has a vertical uncertainty of 3 m, and complimented with a Paulin barometric altimeter. The elevation is derived from a section derived from the paper. The OSL samples were taken from a sand and sandy gravel unit between 28 and 29 m. The uncertainty is taken from the uncertainty of the GPS unit.",Equal to,MIS 5e,,130.00,8.00,Each aliquot contained 1500-2000 grains,single aliquot regenerative (SAR),IRB 240/200 degrees,central age,Risø TL/OSL-readers,,,7 mm of U340 glass filter,56,38,1-sigma,216.2,11.6,,,6,gamma spectrometry data,1-sigma,,,,,,,,,,,,,,,,,19,cylinder volumeter,,,,,1.85,0.08,,,,,Sample taken from a massive sand interpreted as shoreface.,Evan Gowan,Evan Gowan,2021-03-25 16:23:18
389,1,OSL,,"Alexanderson et al., 2011a
 Alexanderson et al., 2018",AL18-002,AL18-002-001,L-14036,Lund Luminescence Laboratory,Quartz,Fine grains (Silt),2014-01-01 00:00:00,Yes,,79.03,11.88,78.882000,11.557000,No,Mean Sea Level / General definition,Cross-section from publication,28.5,3,N/A,N/A,"Altitudes were measured using a Garmin eTrex Vista C GPS, which has a vertical uncertainty of 3 m, and complimented with a Paulin barometric altimeter. The elevation is derived from a section derived from the paper. The OSL samples were taken from a sand and sandy gravel unit between 28 and 29 m. The uncertainty is taken from the uncertainty of the GPS unit.",Equal to,MIS 5e,,135.00,11.00,Each aliquot contained 1500-2000 grains,single aliquot regenerative (SAR),IRB 260/240 degrees,central age,Risø TL/OSL-readers,,,7 mm of U340 glass filter,33,29,1-sigma,212,9.7,,,7.5,gamma spectrometry data,1-sigma,,,,,,,,,,,,,,,,,9,cylinder volumeter,,,,,1.79,0.1,,,,,Sample taken from a massive gravelly sand interpreted as beachface gravel.,Evan Gowan,Evan Gowan,2021-03-25 16:26:38
392,1,OSL,,"Alexanderson and Landvik, 2018
 Landvik et al., 1992",AL18-003,AL18-003-001,Lund 15098,Lund Luminescence Laboratory,Quartz,Coarse grains (sand),2015-01-01 00:00:00,Yes,,,,77.570600,14.440200,No,Mean Sea Level / General definition,Cross-section from publication,19,4,N/A,N/A,"Exact elevation of the samples was not stated, but all were taken from outcrops of Formation 3, which from the diagram occurs between 14 and 24 m. The uncertainty is that range.",Equal to,MIS 5,"OSL samples range from 66-240 ka from this unit, but excluding two outliers, gives an average age that is within MIS 5e. Large uncertainties means that a MIS 5c age cannot be ruled out.",120.00,10.00,180–250 micrometer,single aliquot regenerative (SAR),preheat plateau tests,,Risø TL/OSL-readers,,blue light,,24,22,1-sigma,99.8,6.7,26,,9.65,gamma spectrometry data,1-sigma,,,,,,,,,,,,,,,,,27,Weight percentage from a separate sample taken from the main sample.,,,,,0.83,0.04,,,,,Taken from a coarsening upwards marine unit. The top was interpreted as being the foreshore of a beach.,Evan Gowan,Evan Gowan,2021-03-31 15:23:19
393,1,OSL,,"Alexanderson and Landvik, 2018
 Landvik et al., 1992",AL18-004,AL18-004-001,Risø 983701,Nordic Laboratory for Luminescence Dating,Quartz,Coarse grains (sand),1998-01-01 00:00:00,Yes,,,,77.570600,14.440200,No,Mean Sea Level / General definition,Cross-section from publication,19,4,N/A,N/A,"Exact elevation of the samples was not stated, but all were taken from outcrops of Formation 3, which from the diagram occurs between 14 and 24 m. The uncertainty is that range.",Equal to,MIS 5,"OSL samples range from 66-240 ka from this unit, but excluding two outliers, gives an average age that is within MIS 5e. Large uncertainties means that a MIS 5c age cannot be ruled out.",145.00,10.00,106–212 micrometer,single aliquot regenerative (SAR),preheat plateau tests,,Risø TL/OSL-readers,,blue light,,20,19,1-sigma,135.9,5.7,15,,7.45,gamma spectrometry data,1-sigma,,,,,,,,,,,,,,,,,24,Weight percentage from a separate sample taken from the main sample.,,,,,0.94,0.05,,,,,Taken from a coarsening upwards marine unit. The top was interpreted as being the foreshore of a beach.,Evan Gowan,Evan Gowan,2021-03-31 15:23:08
394,1,OSL,,"Alexanderson and Landvik, 2018
 Landvik et al., 1992",AL18-005,AL18-005-001,Risø 983702,Nordic Laboratory for Luminescence Dating,Quartz,Coarse grains (sand),1998-01-01 00:00:00,Yes,,,,77.570600,14.440200,No,Mean Sea Level / General definition,Cross-section from publication,19,4,N/A,N/A,"Exact elevation of the samples was not stated, but all were taken from outcrops of Formation 3, which from the diagram occurs between 14 and 24 m. The uncertainty is that range.",Equal to,MIS 5,"OSL samples range from 66-240 ka from this unit, but excluding two outliers, gives an average age that is within MIS 5e. Large uncertainties means that a MIS 5c age cannot be ruled out.",100.00,7.00,106–212 micrometer,single aliquot regenerative (SAR),preheat plateau tests,,Risø TL/OSL-readers,,blue light,,57,51,1-sigma,115.2,4.1,24,,11,gamma spectrometry data,1-sigma,,,,,,,,,,,,,,,,,24,Weight percentage from a separate sample taken from the main sample.,,,,,1.15,0.07,,,,,Taken from a coarsening upwards marine unit. The top was interpreted as being the foreshore of a beach.,Evan Gowan,Evan Gowan,2021-03-31 15:22:58
395,1,OSL,,"Alexanderson and Landvik, 2018
 Landvik et al., 1992",AL18-006,AL18-006-001,Risø 983703,Nordic Laboratory for Luminescence Dating,Quartz,Coarse grains (sand),1998-01-01 00:00:00,Yes,,,,77.570600,14.440200,No,Mean Sea Level / General definition,Cross-section from publication,19,4,N/A,N/A,"Exact elevation of the samples was not stated, but all were taken from outcrops of Formation 3, which from the diagram occurs between 14 and 24 m. The uncertainty is that range.",Equal to,MIS 5,"OSL samples range from 66-240 ka from this unit, but excluding two outliers, gives an average age that is within MIS 5e. Large uncertainties means that a MIS 5c age cannot be ruled out.",123.00,11.00,106–300 micrometer,single aliquot regenerative (SAR),preheat plateau tests,,Risø TL/OSL-readers,,blue light,,20,16,1-sigma,98.2,5.5,19,,8,gamma spectrometry data,1-sigma,,,,,,,,,,,,,,,,,24,Weight percentage from a separate sample taken from the main sample.,,,,,0.8,0.06,,,,,Taken from a coarsening upwards marine unit. The top was interpreted as being the foreshore of a beach.,Evan Gowan,Evan Gowan,2021-03-31 15:22:47
