WALIS RSL ID,Is this datapoint public?,Site,Subsite,Nation,Region,Main reference,Additional references,Latitude (decimal degrees),Longitude (decimal degrees),Horizontal Positioning Technique,Is this a marine/terrestrial limiting record?,Type of RSL Indicator,Indicator description,Upper limit of modern analog (m),Lower limit of modern analog (m),Quantification of indicative meaning,Sea level datum,Elevation measurement technique,Do you want to insert upper and lower elevation limits?,Upper elevation of indicator (m),Lower elevation of indicator (m),Upper/Lower elevation measurement error (1-sigma) (m),RSL indicator elevation (m),RSL indicator elevation error (m),Notes on elevation and indicative range,Reference Water Level (m),Indicative Range (m),Paleo Relative Sea Level (m),Paleo Relative Sea Level Uncertainty (m),Is data on vertical land movements (independent from the sea level record) available?,Tectonic category,Comments on tectonic category,Published VLM rate (m/ky),Published VLM rate uncertainty (m/ky),Interpreted VLM rate (m/ky),Interpreted VLM rate (m/ky) uncertainty,Comments on VLM rates,Age attribution,U-Series constraint,U-series age IDs,AAR constraint,Amino Acid Racemization age IDs,ESR constraint,Electro Spin Resonance age IDs,Luminescence constraint,Luminescence age IDs,Stratigraphic constraint,Stratigraphic context/age IDs,Other age constraint,Other age constraints IDs,Quality of RSL data,Quality of age information,Quality notes,Record created by,Record updated by,Last Update
63,1,Amuri Bluff Terrace,"Amuri Bluff Section, Columnar Section 5",New Zealand (Aotearoa),Canterbury,"Ota et al., 1984","Jobberns, 1928
 Ryan et al., 2020",-42.561601,173.507759,National Map Grid Coordinates,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"Columnar Section 5 of Amuri Bluff Terrace in the area of Amuri Bluff. The terrace is well developed and bordered by distinctive sea cliffs. The terrace surface is underlain by well-rounded marine gravel about 3 m thick, unconformably overlying a horizontal abrasion platform in Tertiary limestone. The original terrace surface is well preserved, although now partly covered by secondary deposits of loess and slope wash. The altitude of marine gravels ranges from ~45-35 m near the former shoreline. The elevation provided here is of the contact between the abrasion surface formed in bedrock and the beach gravels as observed along the sea cliff and as drawn in stratigraphic section (Figure 3B). 

Multiple columnar sections of the terraces are drawn in this paper, however specific measurements above sea level are not provided and description in text can differ some from drawn section; e.g. height, thickness of deposit. The region description was subdivided into sections, the most representative description of the terrace for each section has been entered into the database. The substrate on which the shore platform has formed undulates significantly and the thickness of marine deposits also differs significantly, i.e. multiple meters. The terraces in general show an increase of uplift to the south.",,,N/A,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,No,,,,32.0,3.0,Accuracy assigned to less than +/- 3m for low-level terraces by authors.,,,,,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,,Deirdre Ryan,Deirdre Ryan,2020-05-11 15:14:01
64,1,Amuri Bluff Terrace,"Okarahia Stream to Conway River Section, Columnar Section 6",New Zealand (Aotearoa),Canterbury,"Ota et al., 1984","Jobberns, 1928
 Ryan et al., 2020",-42.576117,173.481077,National Map Grid Coordinates,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"Columnar Section 6 of Amuri Bluff Terrace, Okarahia Stream to Conway River area. The terrace is discontinuous in this region and bordered by gentle slopes up to ~10 m in height, which descend to the fluvial Claverley Terrace surfaces. The exposed section is typical and shows 10 m of well-sorted and stratified beach gravels unconformably overlying bedrock. The upper surface of marine deposits near the former shoreline is ~60 m asl (drawn at ~63 m in publication) with no overlying sediments.

Multiple columnar sections of the terraces are drawn in this paper, however specific measurements above sea level are not provided and description in text can differ some from drawn section; e.g. height, thickness of deposit. The region description was subdivided into sections, the most representative section of the terrace has been entered into the database. The substrate on which the shore platform has formed undulates significantly and the thickness of marine deposits also differs significantly, i.e. multiple meters. The terraces in general show an increase of uplift to the south.",,,N/A,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,No,,,,50.0,5.0,The error on the the abrasion surface elevation is greater here (than assigned for low-level terraces by the authors) because the unconformity is obscured at this location. ,,,,,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,,Deirdre Ryan,Deirdre Ryan,2020-05-11 15:15:04
65,1,Leithfield Beach,Well M34/0158,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.2121,172.7532,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well log. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-61.0,-79.0,5.0,-70.0,10.29,"Elevation accuracy <5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 06:03:48
66,1,Kaiapoi,Well M35/0737,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Ryan et al., 2020",-43.3731,172.6553,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well log. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-50.0,-54.0,5.0,-52.0,5.38,"Elevation accuracy <5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 06:47:33
67,1,Burwood,Well M35/1975,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5006,172.6833,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level.
This well is type section for the Burwood Gravel.  ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-49.4,-75.3,0.1,-62.35,12.95,"Elevation accuracy < 0.1 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-12-03 10:34:01
68,1,Shirley,Well M35/2133,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5089,172.6615,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. 
This well is type section fro the Shirley Formation.",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-44.7,-56.9,0.5,-50.8,6.12,"Elevation accuracy < 0.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 07:02:42
69,1,Wainoni,Well M35/2152,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5248,172.6817,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level.
This well is type section for the Wainoni Gravel.  ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-38.4,-57.0,2.5,-47.7,9.63,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 07:02:15
70,1,South New Brighton,Well M35/5185,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1968
 Ryan et al., 2020",-43.4785,172.6624,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-43.0,-54.0,2.5,-48.5,6.04,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. 

Well location in publication does not appear to match location provided by the Council, which indicates the well to be in Marshlands. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 06:48:27
71,1,Heathcote,Well M36/1161,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5597,172.6954,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level.
This well is type section for Heathcote Formation. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-33.8,-70.2,2.5,-52.0,18.37,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 07:01:40
72,1,Greenpark Huts,Well M36/1251,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.7609,172.5677,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-33.0,-56.0,2.5,-44.5,11.76,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,Deirdre Ryan,2019-11-21 06:48:55
73,1,Islington,Well M35/1039,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5408,172.5016,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-5.0,-17.0,2.5,-11.0,6.5,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,,2019-11-21 06:46:39
74,1,Bromley,Well M35/1875,New Zealand (Aotearoa),Canterbury,"Brown et al, 1988","Suggate, 1958
 Suggate, 1965
 Ryan et al., 2020",-43.5291,172.7042,Government well/core database,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"This core is one of two type section for the Bromley Formation.
Bromely Formation. Stratigraphic unit identified in well core. Lithology: sand, clay, shelly clay, peat, silt, and interbedded gravel. Some brown gravel and brown and yellow clay layers. Depositional environment interpreted as beach, lagoonal, dune, and coastal swamp sediments associated with rising and high sea level. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-42.9,-59.7,2.5,-51.3,8.76,"Elevation accuracy < 2.5 m as reported by Canterbury Council well search, www.ecan.govt.nz/data/well-search. ",,,,,No,,,,,,,,"Chronostratigraphy
 Other dating",,,,,,,,,Equal to,Bromley Formation,Equal to,Infinite Radiocarbon,1,0,,Deirdre Ryan,,2019-11-21 06:54:33
