WALIS U-Series ID,Is this datapoint public?,Material type,Details on dated material,Were U-Series data recalculated?,Type of spectrometry,Are RSL estimates available for this record?,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Accepted?,Reason for rejection,Accepted in other study?,Reason for rejection in other studies,Other study ID,Screening,Location,Site,Additional site information,Latitude (decimal degrees),Longitude (decimal degrees),Reported Latitude,Reported Longitude,Are Lat/Long estimated?,Comments on geographic coordinates,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Pa/Th age?,14C age?,Instrument,Decay constants,Comments on decay constants,Calibration method for 230Th/238U ratio,Calibration method for 234U/238U ratio,Comments on spike calibration,Other screening techniques applied,Published % calcite,Interpreted % calcite,[230Th/232Th]ACT backcalculated?,[232Th/238U]ACT backcalculated?,[230Th/238U]ACT backcalculated?,[234Th/238U]ACT backcalculated?,[232Th] (ppb),[232Th] (ppb) uncertainty (±2σ),[238U] (ppm),[238U] (ppm) uncertainty (±2σ),Atomic ratio (232Th/238U)*10^5,Initial 230Th/232Th,[230Th/232Th]ACT,[230Th/232Th]ACT uncertainty (±2σ),[232Th/238U]ACT,[232Th/238U]ACT uncertainty (±2σ),[230Th/234U]ACT,[230Th/234U]ACT uncertainty (±2σ),[230Th/238U]ACT,[230Th/238U]ACT uncertainty (±2σ),[234U/238U]ACT,[234U/238U]ACT uncertainty (±2σ),Reported age (ka),"Reported ageuncertainty (ka, ±2σ)",Reported delta 234U initial (‰),Reported delta 234U (‰) uncertainty (±2σ),Comments on age determination,Reference material name for 230Th/238U,Reference material name for 234U/238U,Correction factor for 230Th/238U,Correction factor for 230Th/238U uncertainty (±2σ),Correction factor for 234U/238U,Correction factor for 234U/238U uncertainty (±2σ),Comments,Recalculated [230Th/238U]ACT,Recalculated [230Th/238U]ACT uncertainty (±2σ),Recalculated [234U/238U]ACT,Recalculated [234U/238U]ACT uncertainty (±2σ),Recalculated Conventional Age (ka),Recalculated Conventional Age uncert. (±2σ),Recalculated delta 234Ui (‰),Recalculated delta 234Ui uncertainty (±2σ),Recalculated Conventional Age uncert. w/ decay constant uncertainties (±2σ),Recalculated delta 234Ui uncert. (±2σ) w/ decay constant uncertainties,Comments (age and delta234i),Record created by,Record updated by,Last Update
3247,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-024,MU11-024-002,FL-5,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.699044,-81.371795,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",53,53,no,yes,no,no,11.5,,2.6,0.12,,,619,,0.001465428,,,,0.9071,0.004,1.1467,0.0022,161.1,1.7,231.4,3.1,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 17:57:42
3237,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-044,MU11-044-001,FL-9,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.723198,-80.243424,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",80,80,no,yes,no,no,18.5,,2.02,0.11,,,270,,0.003024074,,,,0.8165,0.0036,1.1339,0.0029,133.7,1.3,195.4,3.8,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-10 19:30:18
3250,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-044,MU11-044-002,FL-9,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.723198,-80.243424,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",85,85,no,yes,no,no,10.3,,2.86,0.12,,,679,,0.001189396,,,,0.8076,0.0028,1.1299,0.0023,131.9,1,188.6,3,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 18:12:46
3238,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-045,MU11-045-001,FL-10,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.723198,-80.243424,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",90,90,no,yes,no,no,11.1,,2.2,0.12,,,472,,0.001661229,,,,0.7841,0.0047,1.1249,0.0015,126.1,1.4,178.3,2.1,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-10 19:36:25
3251,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-045,MU11-045-002,FL-10,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.723198,-80.243424,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",68,68,no,yes,no,no,23.6,,3.17,0.16,,,331,,0.002455589,,,,0.8128,0.008,1.1356,0.003,132.1,2.6,196.9,4.1,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 18:17:21
3239,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-046,MU11-046-001,FL-11,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.723198,-80.243424,25.72319785,-80.24342363,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",90,90,no,yes,no,no,8.8,,1.92,0.12,,,561,,0.001520143,,,,0.8528,0.0037,1.1273,0.0017,147.6,1.4,193.1,2.4,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-10 19:41:27
3252,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-046,MU11-046-002,FL-11,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.723198,-80.243424,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",82,82,no,yes,no,no,18.6,,3.03,0.16,,,398,,0.002021357,,,,0.8045,0.0049,1.1276,0.0025,131.5,1.6,185,3.4,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 18:38:59
3240,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-047,MU11-047-001,FL-12,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.787899,-80.197343,25.78789931,-80.19734261,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",75,75,no,yes,no,no,8.1,,1.92,0.13,,,590,,0.001392203,,,,0.8214,0.0064,1.1467,0.0033,131.9,2.1,213,4.5,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 16:57:49
3253,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-047,MU11-047-002,FL-12,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.787899,-80.197343,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",72,72,no,yes,no,no,14.1,,2.67,0.12,,,507,,0.001735306,,,,0.8798,0.0045,1.1555,0.0027,148.3,1.8,236.5,3.7,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 18:43:26
3241,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-048,MU11-048-001,FL-13,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.787899,-80.197343,25.78789931,-80.19734261,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",72,72,no,yes,no,no,17.7,,1.75,0.14,,,257,,0.003327626,,,,0.8552,0.0041,1.1424,0.0023,143.8,1.5,213.9,3.2,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 17:03:54
3254,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-048,MU11-048-002,FL-13,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.787899,-80.197343,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",15,15,no,yes,no,no,19.4,,3.92,0.14,,,559,,0.001634705,,,,0.9138,0.0039,1.1787,0.0018,152.9,1.5,275.3,2.5,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 18:48:12
3235,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-049,MU11-049-001,FL-6,2011-01-01 00:00:00,No,"All ooid samples showed \""open-system conditions\"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.700300,-81.333991,24.70030021,-81.33399119,Yes,Yes, ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",65,65,no,yes,no,no,16.7,,2.71,0.12,,,426,,0.002025587,,,,0.8629,0.0032,1.1394,0.002,147.3,1.3,211.4,2.7,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-10 19:05:15
3248,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-049,MU11-049-002,FL-6,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.700300,-81.333991,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",8,8,no,yes,no,no,19.2,,3.74,0.14,,,564,,0.001692376,,,,0.9545,0.0035,1.1624,0.003,174.4,1.9,265.8,4.2,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 18:02:26
3236,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-050,MU11-050-001,FL-8,2011-01-01 00:00:00,No,"All ooid samples showed \""open-system conditions\"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.723198,-80.243423,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",90,90,no,yes,no,no,9,,2.18,0.11,,,581,,0.001359897,,,,0.7901,0.0069,1.1253,0.0019,127.8,2.1,179.7,2.7,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-10 19:22:37
3249,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-050,MU11-050-002,FL-8,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,25.723198,-80.243424,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",70,70,no,yes,no,no,27.3,,3.08,0.11,,,278,,0.002923741,,,,0.8128,0.0069,1.1396,0.002,131.1,2.1,202.2,2.8,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 18:08:32
3255,1,Oolite,"oolitic limestone, shoals/barsoolitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-051,MU11-051-001,FL-203,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.547207,-81.794998,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",85,85,no,yes,no,no,12.3,,3.3,0.12,,,593,,0.001225295,,,,0.7266,0.0017,1.1212,0.0018,111,0.6,165.9,2.3,,,,,,,,,,,,,,,,,,,,Alexandra Villa,Peter Chutcharavan,2021-07-12 23:49:34
