WALIS RSLind ID,Name of RSL indicator,Description of RSL indicator,Description of RWL,Description of IR,Indicator reference(s),Record created by,Record updated by,Last Update,General type
19,Isolation Basin (moment of marine connection),"Contact between lacustrine environment (lower) and brackish-marine environment (upper) established in central part of a basin [age control obtained here], tied to a sill level inbetween former lake shore and the sea [elevation of RSL indicator obtained here]. ","(HAT to MSL)/2

When HAT gets above sill level, the isolation basin first becomes brackish",(HAT to MSL) + uncertainty sill level position,"Van Leeuwen et al., 2000
 Zagwijn, 1983",Kim Cohen,Kim Cohen,2020-01-05,Depositional
20,Estuarine Terrace (preserved tidal flat surface),"A variant of the Marine Terrace option elsewhere in this database. Paraphrasing Pirazzoli et al., 2005: ""Any relatively flat surface of estuarine origin"". The difference with the Marine Terraces are (1) the orientation of the estuarine terrace is 'along' a falling-stage river valley / high stand embayment, and 'across' the shore line of headland coasts and barrier-coastal stretches under wave attack; (2) the flatness of the abandoned surface is not so much due to wave action and storm swash, but more due to intertidal/supratidal flooding just prior to terrace abandonment. 

The locality Petten (Zagwijn 1983) in the Rhine estuary (Peeters et al. 2015, 2016) from the begin falling stage of MIS-5d is an example of a buried Estuarine terrace. The Tagus system in Portugal bears non-buried examples (Vis et al., 2008). 

Estuarine terraced reaches in seaward direction grade to Marine terraces, with some elevation ramp effects owing to transitioning in RWL indicative meaning of the terrace surface. In landward direction, they grade to riverine terraces / former floodplains.",(HAT + MSL) / 2,Between MSL and HAT (upper intertidal),"Peeters et al., 2015
 Peeters et al., 2016
 Pirazzoli, 2005
 Zagwijn, 1983",Kim Cohen,Kim Cohen,2020-01-28,Depositional
22,Ophiomorpha burrow ,"Ophiomorpha is an ichnogenus that includes burrow structures built on sandy substrates extending from MSL down to 2   to 4 m below the surface where they divide into horizontal and inclined galleries. The burrows present a broad spectrum of morphologies and environmental distributions, mostly developing in intertidal to very shallow waters.",According to Frey et al. (1978) the reference water level for Ophiomorpha is the Mean Sea Level. ,The range where the burrows can be found is from 0 to 4 m under water. ,"Frey et al., 1978
 Martins et al., 2018",Karla Zurisadai Rubio Sandoval ,WALIS Admin,2021-03-24,Biological
23,Shallow water coral reef facies,For use when specific reference is given to a modern coral species and or morphological occurrence.,Mean Low Water Springs,Mean low water springs to depth of modern living analogue.,"Guillaume et al., 2013
 Vyverberg et al., 2018",Patrick Boyden,Patrick Boyden,2020-09-18,Biological
24,Estuary deposit,"""An estuary is a semi-enclosed costal body of water that extends to the effective limit of tidal influence, within which sea water entering from one or more free connections with the open sea, or any other saline coastal body of water, is significantly diluted with fresh water derived from land drainage, and can sustain euryhaline biological species from either part or the whole of their life cycle."" - Definition from Perillo, 1995",< highest astronomical tide (HAT),"The upper limit of estuary deposits is the highest astronomical tide, but the lower limit is bounded bathymetry. As a result, an estuary deposit can only be used as a marine limiting indicator, with an uncertainty range that is HAT-MSL.",Perillo 1995,Evan Gowan,Evan Gowan,2020-01-31,Depositional
26,Lithophyllum byssoides algal rims,Upper intertidal fossil algal rims build by Lithophyllum byssoides,(HAT-MSL)/2,HAT-MSL,"Sechi et al., 2020",Matteo Vacchi,WALIS Admin,2021-01-05,Biological
28,Upper limit of Lithophaga boreholes ,"Boreholes created by mollusks of the Lithophaga genus, forming a well-delineated band on a rocky shoreline around the former tidal level.",(MLLW + LAT)/2,MLLW - LAT,"Laborel and Laborel-Deguen, 1994",Alessio Rovere,WALIS Admin,2021-01-05,Biological
29,Beach swash deposit,part of the beach face located between mean sea level and foredune,"(Upper limit + Lower limit) / 2
Upper limit = spring tidal range / 2 or MHHW
Lower limit = MSL","(Upper limit - Lower limit)
Upper limit = spring tidal range / 2 or MHHW
Lower limit = MSL",,Deirdre Ryan,WALIS Admin,2021-01-05,Depositional
30,Foreshore deposits,Beach deposits characterized by a horizontal or gentle seaward-dipping lamination.,(MHHW to MLLW)/2,MHHW to MLLW,,Alessio Rovere,Alessio Rovere,2020-04-19,Depositional
31,Bioerosional and erosional markers on limestone cliff,"Relicts of bioerosional (e.g., L. lithophaga boreholes) or erosional indicators on a sparse elevation range on a limestone cliff.",RWL is the mid point between MSL and the difference of upper bound of occurrence minus lower bound.,IR is the distance (in absolute value) between MSL and the difference of upper bound of occurrence minus lower bound.,,Alessio Rovere,WALIS Admin,2021-01-05,Biological
32,"Tidal inlet facies (Western Cape, South Africa)","Coarse-grained, thickly bedded, trough cross bedding, herringbone cross bedding, multiple scours, Ophiomorpha and Skolithos trace fossils.",Midpoint of the Indicative range,-0.5m to -3.5m with respect to MSL,"Carr et al., 2010",Andrew Cooper,WALIS Admin,2020-12-16,Depositional
33,Shallow or intertidal marine fauna,Marine fauna usually associated with very shallow water or intertidal environments,Based on the upper and lower limits of living modern analog faunas,Based on the upper and lower limits of living modern analog faunas,,Alessio Rovere,WALIS Admin,2021-01-05,Biological
34,Coastal barrier,"beach facies: gently seaward dipping laminae and beds of fine to coarse sediment
wash-over facies: fining upward bed resting on flooding surface of lagoonal silt or clay",MSL to MHW,"beach beds: MHW to MLW
wash-over fan: flooding surface to barrierward top of fan",Moore and Murray 2018,Barbara Mauz,Barbara Mauz,2020-11-12,Depositional
35,Beachrock,"Cement: isopachous or miniscus of HMC or aragonite; granular, bladed or fibrous crystals
Bedding: symmetrical ripples or horizontal plane-parallel laminae or planar and trough cross-beds",MHW to MLW,HAT (or spray zone) to LW,"Mauz et al., 2015",Barbara Mauz,Barbara Mauz,2020-11-13,Depositional
36,Shoreface/foreshore contact,"Highest elevation of contact between cross-bedded gravelly shoreface sands and planar bedded, gently seaward dipping, foreshore sands,.  Occurs at MLW. ",The indicator marks exactly Mean Low Water,"As the indicator is reported to mark exactly the MLW, the IR is zero.","Roberts, Karkanas et al., 2012",Andrew Cooper,WALIS Admin,2021-01-21,Depositional
37,Salt marsh (undifferentiated),"Record of salt marsh macrofossils, pollen, foraminifera or diatoms.  Maybe be supported by the presence of brackish water molluscs or ostracods, and/or silty-clay with organic remains.",(HAT-MTL)/2,Highest astronomical tide - mean tide (or sea) level,Engelhart and Horton,Natasha Barlow,Natasha Barlow,2021-03-18,Biological
38,Shoreline angle (US Pacific coast),"The shoreline angle is the junction of the marine platform (or ""wave-cut bench""), formed in the surf zone, and the sea cliff, when viewed in cross-section.",(MHHW-MLLW)/2,MHHW+MLLW,"Kern, 1977",Daniel Muhs,Daniel Muhs,2021-04-08,Geomorphological
39,Upper Tidal Flat,Intertidal areas.  These are the locations along the coast exposed at low tide,No RWL available,Between HAT and LAT,,Alexander Simms,Alexander Simms,2021-06-09,Depositional
40,Coralline algal reef cap,The coralline red algae live the uppermost subtidal to the lowermost intertidal zone and extend the coralalgal reef framework into the intertidal zone because of their ability to withstand subaerial exposure at low tide.,Mean low tide,40 cm,"Hattin and Warren 1989
 Rovere et al., 2016",Alexandra Villa,Alexandra Villa,2021-07-23,Biological
41,Coral microatolls,"From Bender et al., 2020: ""Fossil microatolls are particular growth forms adopted by massive corals (e.g., Porites) when they reach the upper bounds of their living range, close to sea level. Coral colonies generally grow upwards until they reach the lower part of the tidal range. At this point, they keep growing horizontally forming “atoll-like” structures (Fig. 1 in Scoffin and Stoddart, 1978, and Fig. 8.1 in Meltzner and Woodroffe, 2015) that can widen up to several meters.""",(MLLW + LAT)/2,MLLW to LAT,"Bender et al., 2020
 Meltzner and Woodroffe, 2015
 Scoffin and Stoddart, 1978",Alessio Rovere,Alessio Rovere,2021-07-28,Biological
