Field,Type,Collation,Null,Key,Comment
Paramagnetic_centre,mediumtext,utf8_general_ci,YES,,ESR signal
Nb_Scans,varchar(45),utf8_general_ci,YES,,Number of scans
Nb_repeat_meas,varchar(45),utf8_general_ci,YES,,Number of repeated measurements
Nb_rotations,varchar(45),utf8_general_ci,YES,,Number of rotations in the cavity
ESR_Sign_int,mediumtext,utf8_general_ci,YES,,Evaluation of the ESR signal intensity
Corr_ESR_int,mediumtext,utf8_general_ci,YES,,Correction of the ESR intensities
Bleaching_coeff,mediumtext,utf8_general_ci,YES,,Bleaching coefficient (%)
Fitting_prog_err_calc,mediumtext,utf8_general_ci,YES,,Fitting program and error calculation
Fitting function,mediumtext,utf8_general_ci,YES,,Fitting function
Data_weight_fitting,mediumtext,utf8_general_ci,YES,,Data weighting used for fitting
Equivalent_dose,varchar(45),utf8_general_ci,YES,,Equivalent dose estimate (Gy)
Equivalent_dose_err,varchar(45),utf8_general_ci,YES,,Equivalent dose estimate undertainty (±1σ) (Gy)
Depth,varchar(45),utf8_general_ci,YES,,Depth (m)
Technique,longtext,utf8_general_ci,YES,,Technique
Dose_rate_unc_type,varchar(45),utf8_general_ci,YES,,Dose rate uncertainty type
extU,varchar(45),utf8_general_ci,YES,,external U (ppm)
extU_unc,varchar(45),utf8_general_ci,YES,,external U error (ppm)
extTh,varchar(45),utf8_general_ci,YES,,external Th (ppm)
extTh_unc,varchar(45),utf8_general_ci,YES,,external Th error (ppm)
extK,varchar(45),utf8_general_ci,YES,,external K (%)
extK_unc,varchar(45),utf8_general_ci,YES,,external K error (%)
extRb,varchar(45),utf8_general_ci,YES,,external Rb (ppm)
extRb_unc,varchar(45),utf8_general_ci,YES,,external Rb error (ppm)
Ext_dose_rate,varchar(45),utf8_general_ci,YES,,External dose rate (Gy/ka)
Ext_dose_rate_unc,varchar(45),utf8_general_ci,YES,,External dose rate uncertainty (Gy/ka)
intU,varchar(45),utf8_general_ci,YES,,internal U (ppm)
intU_unc,varchar(45),utf8_general_ci,YES,,internal U error (ppm)
intTh,varchar(45),utf8_general_ci,YES,,internal Th (ppm)
intTh_unc,varchar(45),utf8_general_ci,YES,,internal Th error (ppm)
intK,varchar(45),utf8_general_ci,YES,,internal K (%)
intK_unc,varchar(45),utf8_general_ci,YES,,internal K error (%)
intRb,varchar(45),utf8_general_ci,YES,,internal Rb (ppm)
intRb_unc,varchar(45),utf8_general_ci,YES,,internal Rb error (ppm)
Int_dose_rate,varchar(45),utf8_general_ci,YES,,Internal dose rate (Gy/ka)
Int_dose_rate_unc,varchar(45),utf8_general_ci,YES,,Internal dose rate uncertainty (Gy/ka)
Alpha_rate_val,varchar(45),utf8_general_ci,YES,,Alpha dose rate (Gy/ka)
Alpha_rate_unc,varchar(45),utf8_general_ci,YES,,Alpha dose rate error (Gy/ka)
Gamma_rate_val,varchar(45),utf8_general_ci,YES,,Gamma dose rate (Gy/ka)
Gamma_rate_unc,varchar(45),utf8_general_ci,YES,,Gamma dose rate error (Gy/ka)
Beta_rate_val,varchar(45),utf8_general_ci,YES,,Beta dose rate (Gy/ka)
Beta_rate_unc,varchar(45),utf8_general_ci,YES,,Beta dose rate error (Gy/ka)
Cosmic_rate_val,varchar(45),utf8_general_ci,YES,,Cosmic dose rate (Gy/ka)
Cosmic_rate_unc,varchar(45),utf8_general_ci,YES,,Cosmic dose rate error (Gy/ka)
Field_water,varchar(45),utf8_general_ci,YES,,Field water content (% of dry mass)
Water_cont_det,longtext,utf8_general_ci,YES,,Water content determination method
Water_cont_val,varchar(45),utf8_general_ci,YES,,Water content used (%)
Water_cont_unc,varchar(45),utf8_general_ci,YES,,Water content used error (%)
Atten_fact,longtext,utf8_general_ci,YES,,Attenuation factors
Conv_fact,longtext,utf8_general_ci,YES,,Conversion factors
Alpha_eff_fact,longtext,utf8_general_ci,YES,,Alpha efficiency factor
Etching_method,longtext,utf8_general_ci,YES,,Etching method
etch_depth,varchar(45),utf8_general_ci,YES,,Etch depth (µm)
etch_depth_unc,varchar(45),utf8_general_ci,YES,,Etch depth error (µm)
Total_dose_rate,varchar(45),utf8_general_ci,YES,,Total dose rate (Gy/ka)
Total_dose_rate_unc,varchar(45),utf8_general_ci,YES,,Total dose rate uncertainty (Gy/ka)
Notes,longtext,utf8_general_ci,YES,,Comments and notes
Createdby,varchar(45),utf8_general_ci,YES,,Record created by
Updatedby,varchar(45),utf8_general_ci,YES,,Record updated by
LastUpdate,datetime,,YES,,Last Update
coord,point,,YES,,mySQL coordinates
