Field,Type,Collation,Null,Key,Comment
Final_age_unc,varchar(45),utf8_general_ci,YES,,Age uncertainty (ka)
Aliquot size,varchar(45),utf8_general_ci,YES,,Aliquot size
ED_meas_protocol,longtext,utf8_general_ci,YES,,Equivalent Dose measurement protocol
Treatment,longtext,utf8_general_ci,YES,,Treatment during measurement
ED_stat_model,varchar(45),utf8_general_ci,YES,,Statistical model for burial dose
Machine_type,longtext,utf8_general_ci,YES,,Machine type
Detection_unit,longtext,utf8_general_ci,YES,,Detection unit
Stimulation_unit,longtext,utf8_general_ci,YES,,Stimulation unit
Optical_filters,longtext,utf8_general_ci,YES,,Optical Filters used for Detection
Nb_aliquots_sg_run,mediumtext,utf8_general_ci,YES,,Number of aliquots/ single grains run
Nb_aliquots_sg_used,mediumtext,utf8_general_ci,YES,,Number of aliquots/ single grains used in sample
Dose_unc_lev,varchar(45),utf8_general_ci,YES,,Uncertainty level
ED,varchar(45),utf8_general_ci,YES,,Equivalent dose (Gy)
ED_unc,varchar(45),utf8_general_ci,YES,,Equivalent dose uncertainty (Gy)
OD_val,varchar(45),utf8_general_ci,YES,,Overdispersion value (%)
OD_val_unc,varchar(45),utf8_general_ci,YES,,Overdispersion value uncertainty (%)
Depth_of_burial,varchar(45),utf8_general_ci,YES,,Depth of burial (m)
DR_determination,longtext,utf8_general_ci,YES,,Approach of dose rate dermination
Dose_rate_unc_type,varchar(45),utf8_general_ci,YES,,Uncertainty levels
U,varchar(45),utf8_general_ci,YES,,Uranium content (ppm)
U_unc,varchar(45),utf8_general_ci,YES,,Uranium content uncertainty (ppm)
Th,varchar(45),utf8_general_ci,YES,,Thorium content (ppm)
Th_unc,varchar(45),utf8_general_ci,YES,,Thorium content uncertainty (ppm)
K,varchar(45),utf8_general_ci,YES,,Potassium content (%)
K_unc,varchar(45),utf8_general_ci,YES,,Potassium content uncertainty (%)
Rb,varchar(45),utf8_general_ci,YES,,Rubidium content (ppm)
Rb_unc,varchar(45),utf8_general_ci,YES,,Rubidium content uncertainty (ppm)
Alpha_rate_val,varchar(45),utf8_general_ci,YES,,Alpha dose rate (Gy/ka)
Alpha_rate_unc,varchar(45),utf8_general_ci,YES,,Alpha dose rate uncertainty (Gy/ka)
Gamma_rate_val,varchar(45),utf8_general_ci,YES,,Gamma dose rate (Gy/ka)
Gamma_rate_unc,varchar(45),utf8_general_ci,YES,,Gamma dose rate uncertainty (Gy/ka)
Beta_rate_val,varchar(45),utf8_general_ci,YES,,Beta dose rate (Gy/ka)
Beta_rate_unc,varchar(45),utf8_general_ci,YES,,Beta dose rate uncertainty (Gy/ka)
Cosmic_rate_val,varchar(45),utf8_general_ci,YES,,Cosmic dose rate (Gy/ka)
Cosmic_rate_unc,varchar(45),utf8_general_ci,YES,,Cosmic dose rate uncertainty (Gy/ka)
Field_water,varchar(45),utf8_general_ci,YES,,Field water content (% of dry mass)
Water_cont_det,longtext,utf8_general_ci,YES,,Water content determination method
Water_cont_val,varchar(45),utf8_general_ci,YES,,Water Content used in Final Age Calculation (% of dry mass)
Water_cont_unc,varchar(45),utf8_general_ci,YES,,Water Content used in Final Age Calculation  uncertainty (% of dry mass)
Atten_fact,varchar(45),utf8_general_ci,YES,,Alpha attenuation factor
DR_conv_fact,varchar(45),utf8_general_ci,YES,,Dose Rate conversion factors
Total_dose_rate,varchar(45),utf8_general_ci,YES,,Total dose rate (Gy/Ka)
Total_dose_rate_unc,varchar(45),utf8_general_ci,YES,,Total dose rate uncertainty (Gy/ka)
Fading_corr,varchar(45),utf8_general_ci,YES,,Was fading correction applied?
Method_fading,varchar(45),utf8_general_ci,YES,,Method of fading correction
g-value,varchar(45),utf8_general_ci,YES,,g-value (% per decade)
g-value_unc,varchar(45),utf8_general_ci,YES,,g-value (±1σ) (% per decade)
Notes,longtext,utf8_general_ci,YES,,Comments
Createdby,varchar(45),utf8_general_ci,YES,,Record created by
Updatedby,varchar(45),utf8_general_ci,YES,,Record updated by
LastUpdate,datetime,,YES,,Last Update
coord,point,,YES,,MySQL coordinates
