WALIS Strat ID,Is this datapoint public?,Chronostratigraphy ID,Reference(s),Description for chronostratigraphic constraint,Unit thickness (m),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Upper Age (ka),Lower Age (ka),Notes on age determination,Is this an official stratigraphic designation?,Has duration estimated in years?,Duration (yrs),Duration uncertainty (yrs),Is a subzone of a parent Chronostratigraphy entry?,Parent record (WALIS Strat ID),Record created by,Record updated by,Last Update
132,1,Bonaire Lower Terrace,"Lorscheid et al., 2017b
 Obert et al., 2016 
 Rubio-Sandoval et al., 2021","The terrace is dated to MIS 5e on the windward side of the island with a series of U-Series ages by Obert et al., 2016. Lorscheid et al., 2017 dated one coral on the leeward side and conclude:  ""The results of U-series dating suggest that both coral subsamples taken from the deposit below the notches are diagenetically altered and biased towards older ages. Thus, they need to be regarded cautiously. Nevertheless, the coral ages can be correlated with those found along the north-eastern and eastern coast of Bonaire, that are constrained to MIS 5e through strictly reliable 230Th/U-ages of seven Diploria strigosa coral colonies collected at elevations between ~1.5 and ~5.5 m [...]. The stratigraphy of the Lower Terrace is very similar between the western coast (investigated in this study) and the north-eastern and eastern coasts, the only difference being the width of the fossil reef terrace, which is much larger on the eastern and northern, windward side of the island. Thus, it is reasonable to assume that the measured palaeo tidal notch was formed in MIS 5e"" ",,Equal to,MIS 5e,,,,,No,No,,,No,,Karla Zurisadai Rubio Sandoval ,,2020-11-19 16:47:13
19,1,Bromley Formation,"Brown et al, 1988
 Suggate, 1958
 Ryan et al., 2020","The Bromley Formation is found in the subsurface of coastal North Canterbury. It is composed of blue-grey gravel, sand, silt, clay, shelly clay, and peat with some brown gravel, and brown and yellow clay layers. The Formation has a maximum thickness of 30 m with a depth range of ~40-60 m below the ground surface. Depositional environment is described as beach, lagoonal, dune, and coastal swamp sediments associated with rising, high, and declining sea level.

It is bound by erosional surfaces to additional Quaternary stratigraphic units. It is variably overlain in upward succession by:
Riccarton Gravel (glacial outwash derived river deposits)
Windwhistle Formation (glacial outwash derived river deposits)
Burnham Formation (glacial outwash derived river deposits)
Springtown Formation (fluvial and coastal flood deposits)
Christchurch Formation (Holocene equivalent of the Bromely Formation)
It is variably underlain by a similar glacial and interglacial sequence as that described above:
Woodlands Formation, Linwood Gravel (Glacial outwash)
Heathcote Formation (Interglacial)
Hororata Formation, Burwood Gravel (Glacial outwash)
Shirley Formation (Interglaical)
Wainoni Gravel (Glacial outwash)
See Table 2 of Brown et al., 1988",variable,Equal to,MIS 5,5,,,Determined by stratigraphic succession,,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 17:04:29
114,1,Cananéia formation,"Martin and Suguio, 1976
 Suguio and Petri, 1973
 Suguio et al., 2003
 Rubio-Sandoval et al., 2021","The formation (described on the islands of Comprida and Cananéia) includes a base composed by silts formed within a continental/marine transition, capped by sands of shallow water origin, characterized by the presence of ophiomorpha fossil traces. A series of infinite radiocarbon ages and luminescence ages constrain this formation broadly to MIS 5. ",,Equal to,MIS 5,,,,,No,,,,,,Karla Zurisadai Rubio Sandoval ,WALIS Admin,2020-10-23 13:23:39
124,1,Cape Arago Pioneer Terrace,"McInelly and Kelsey, 1990
 Thompson and Creveling, 2021","This terrace correlation was based upon physical continuity of platform elevation between this terrace and the regionally adjacent Pioneer terrace at Cape Blanco. The terrace at Cape Blanco was dated to 105 ka with AAR and Oxygen Isotope data, which the authors use to then date the Pioneer terrace at Coquille point to 105 ka (MIS 5c).",,Equal to ,MIS 5c,5c,98.0,90.0,,No ,No ,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
123,1,Cape Arago Whiskey Run Terrace,"McInelly and Kelsey, 1990
 Thompson and Creveling, 2021",This terrace correlation was based upon physical continuity of platform elevation between this terrace and the regionally adjacent Pioneer terrace at Cape Blanco. ,,Equal to ,MIS 5a,5a,86.0,78.0,,No ,No ,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
122,1,Coquille Point Pioneer Terrace,"McInelly and Kelsey, 1990
 Thompson and Creveling, 2021","This terrace correlation was based upon physical continuity of platform elevation between this terrace and the regionally adjacent Pioneer terrace at Cape Blanco. The terrace at Cape Blanco was dated to 105 ka with AAR and Oxygen Isotope data, which the authors use to then date the Pioneer terrace at Coquille point to 105 ka (MIS 5c).",,Equal to ,MIS 5c,5c,98.0,90.0,,No ,No ,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
71,1,Cyprina Clay - lower brackish parts E2b-E3a,"Funder et al., 2002
 Konradi, 1976
 Kristensen et al., 2000
 Larsen et al., 2009
 Madsen et al., 1908
 Seidenkranz, 1993","See the main entry West Baltic Sea Cyprina Clay for a full description.
This entry matches foraminifera zone RKFO3 as described in Kristensen et al., (2000) for the Cyprina Clay. 
This entry correlates chronostratigraphically to foraminiferal zone E as described by Seidenkranz (1993) in deep waters in the south of the Kattegat palaeoembayment.
This entry correlates chronostratigraphically to intervals at the very base of the 'Lower Turritella terebra' molluscan zone of Larsen et al. (2009) in the centre of the Kattegat paleoembayment: the lower most parts of regional foraminferal zone to N3 (AV-F2).

The lower brackish parts of the Cyprina clay define the first stages of deposition of this marine unit (overlying liminic strata), starting brackish and becoming saline gradually. On marine biogeographic grounds the brackish onset of Cyprina clay sedimentation marks the establishment of a first tidal connection with the North Sea via the Kattegat of North Denmark (Kristensen et al., 2000; Funder et al., 2002), via deep (palaeo-)sounds of east central Denmark, notably the Alnarp-Esrum palaeovalley in the OreSund (Funder et al. 2002). Its timing must have been coincident with considerable deepening of the water depth and isotopic compositional changes signaled in foraminiferal assemblages of the Kattegat embayment (Seidenkranz, 1993: her Zone E; see also: Larsen et al.,2009). The onset of southerly marine deposition in formerly limnic deep waters of the West Baltic Basin, times relatively early (just 300 years into the Eemian; within Zagwijn PAZ E2b according to Madsen et al., 1908; Konradi, 1976; Kristensen et al., 2000). The early-Eemian brackish phase in the West Baltic Sea was a relatively short lived one: Saline stages of the Cyprina clay commence halfway PAZ E3a onwards, some 350 varve-years later when correlating to terrestrial sites some 250 km away (Kristensen et al. 2000:110, their local zone RKFO4). It is followed by two more stages (see other entries: first saline part: 'transgression', second saline part: 'high stand').

In the Kattegat, the deepening signal is registered soon as meltwater fluxes derived from Scandinavian ice and spillage from lakes occupying the Baltic basin stopped. On transgression mechanistic grounds (i.e: a connection is established) the deepening of the Kattegat waters (represented by Seidenkranz 1993 single Zone E) coincides with the deepening and salinization during Kristensen et al. (2000) pair of zones RKFO3 and RKFO4 in the Cyprina Clay distribution area to the south. From the onset of Zone E / Zone RKFO3 onwards, waves of immigration of boreal-to-lusitanic foram and mollusc species into the Baltic Sea basin begin. Deep water species reach the Baltic Sea from habitats in the Kattegat where foram and mollusc species compositional changes are also recorded. Shallow water species reach the Baltic Sea from littoral habitats of the Southern North Sea and around the Danish peninsula and islands (and may have arrived mainly during zone RKFO4).





",0.5,Equal to,MIS 5e,see main entry for West Baltic Sea Cyprinia Clay,128.5,124.5,"see main entry on West Baltic Sea Cyprinia Clay



This entry for the brackish onset stage:

For the duration estimate follows the correlations of Kristensen et al. (2000): 350 years, 

   with +/- 100 years for forest succession diachronicity.



For the absolute age range 
As Upper Age copies that registered for the entry 'North Sea' Zagwijn Eemian E3a, and
As Lower Age copies that registered for the entry 'North Sea' Zagwijn Eemian E2b. 

As for other chronostratigraphic zone entries, this spans the conservative oldest onset age to a conservative youngest possible final age. The 350 years of duration should be sought within this 4000 year bracket.



",No,Yes,350,100,Yes,70,Kim Cohen,Kim Cohen,2022-04-21 13:50:32
72,1,Cyprina Clay - lower saline part E3a-E4b,"Funder et al., 2002
 Konradi, 1976
 Kristensen et al., 2000
 Larsen et al., 2009
 Madsen et al., 1908
 Seidenkranz, 1993","See the main entry West Baltic Sea Cyprina clay for a full description.
This entry matches foraminifera zone RKFO4 as described in Kristensen et al., (2000) for the Cyprina Clay. 
This entry correlates chronostratigraphically to foraminiferal zone E as described by Seidenkranz (1993) in deep waters in the south of the Kattegat (palaeo)embayment.
This entry correlates chronostratigraphically to intervals at the base of the 'Lower Turritella terebra' molluscan zone of Larsen et al. (2009) in the centre of the Kattegat (palaeo)embayment: the lower parts of regional foraminiferal zone to N3 (AV-F3).

The part of the marine unit described here is the first fully saline unit, marks fully established marine exchange between the North Sea (Kattegat) and the Baltic Sea. The subunit overlies an initial brackish phases that in turn overly liminic strata. The connection with the Kattegat is evident from marine palynology (forams) and malacology (Kristensen et al., 2000; Funder et al., 2002). Saline stages of the Cyprina Clay in the West of the  Baltic Sea commence halfway PAZ E3a onwards (Kristensen et al. 2000:110, their local zone RKFO4), based on pollen content and correlation to terrestrial key sites with varve-based floating chronologies (see 'North Sea' Zagwijn entries). 

Deep water species reach the Baltic Sea from habitats in the Kattegat where foram and mollusc species compositional changes are also recorded. Shallow water species reach the Baltic Sea from littoral habitats of the Southern North Sea and around the Danish peninsula and islands. By the end of zone RKFO4 littoral lusitanian mollusc species have appeared in the West Baltic Sea. By the end of zone RKFO4 bottom-water subarctic and boreal relict faunal elements have disappeared in the West Baltic Sea.

The marine stage is coincident with considerable deepening of the water depth and isotopic compositional changes signaled in foraminiferal assemblages of the Kattegat embayment (Seidenkranz, 1993: her Zone E; see also: Larsen et al.,2009). This is the phase that more boreal-to-lusitanic foram and mollusc species make it to the Baltic Sea basin, mixing and replacing boreal and subarctic species. In the central baltic this includes replacement and competition with species introduced from the east through marine connections with the White Sea (reviewed by Funder et al., 2002) in Karelia (Russian-Finnish borderlands). 

The first saline parts of the unit are followed by a second saline stage, where foraminiferal composition changes (initially persisting subarctic/cold bottom water species get replaced by boreal/temperate water species; Kristensen et al., 2000:110, their local zone RKFO5) and additional indications of current change (Kristensen et al., 2000:113) indicate the Baltic Sea to have reached full depth ('high stand'). The break between RKFO4 and RKFO5 has a correlated timing halfway Zagwijn PAZ E4b (Kristensen et al., 2000). The ending of the 'transgressive' stage of this zone break correlates to the break between local foram zones E and F of Seidenkranz (1993) the deeper waters of the Kattegat to the north of the Cyprina clay distribution area.  

In the 'high stand' stage (not this entry), a secondary marine connection between North Sea (German Bight) and the West Baltic may have established across the Schleswig (Danish-German borderlands; sources in Konradi et al., 2005). Such offers further circumstantial explanation for the change in local oceanography registered by the marine palynology of RKFO4 and RKFO5 (Kristensen et al., 2000; Funder et al., 2002). This was reason to separate entries for the 'lower saline part' from the 'upper saline part' of the Cyprina clay when using it chronostratigraphically in this sea-level change oriented database. ",1-2,Equal to,MIS 5e,see main entry for West Baltic Sea Cyprinia Clay,128.0,122.5,"see main entry on West Baltic Sea Cyprinia Clay

This entry for the brackish onset stage:
For the duration estimate follows the correlations of Kristensen et al. (2000): 350 years, 
   with +/- 100 years for forest succession diachronicity.

For the absolute age range 
As Upper Age copies that registered for the entry 'North Sea' Zagwijn Eemian E4b, and
As Lower Age copies that registered for the entry 'North Sea' Zagwijn Eemian E3a. 

As for other chronostratigraphic zone entries, this spans the conservative oldest onset age to a conservative youngest possible final age. The 1950 years of duration should be sought within this 7000 year bracket.
",No,Yes,1950,200,Yes,70,Kim Cohen,Kim Cohen,2022-04-21 13:50:52
73,1,Cyprina Clay - upper saline part E4b-E6a,"Funder et al., 2002
 Houmark-Nielsen, 1987
 Konradi, 1976
 Kristensen et al., 2000
 Larsen et al., 2009
 Madsen et al., 1908
 Seidenkranz, 1993
 Winn & Erlenkeuser, 1995
 Winn & Erlenkeuser, 1998","See the main entry West Baltic Sea Cyprina clay for a full description.
This entry matches foraminifera zone RKFO5 as described in Kristensen et al., (2000) for the Cyprina Clay. 
This entry correlates chronostratigraphically to foraminiferal zone F as described by Seidenkranz (1993) in deep waters in the south of the Kattegat (palaeo)embayment.
This entry correlates chronostratigraphically to the main part of the 'Lower Turritella terebra' molluscan zone of Larsen et al. (2009) in the centre of the Kattegat (palaeo)embayment: the middle and upper parts of regional foraminiferal zone to N3 (AV-F3).

The part of the marine unit described here is the upper part of the unit, it marks the Eemian high stand stage in the West Baltic Sea, and follows transgressive stages (brackish onset and lower saline parts). In the upper saline stage, foraminiferal composition is mainly that of boreal/temperate water species including abundant Lusitanian species (Kristensen et al., 2000:110, their local zone RKFO5). Seidenkranz (1993: her Zone F) in the deeper waters of the Kattegat to the North of the Cyprina clay distribution area describes a foraminiferal compositional change that appears correlated. These conditions established halfway Zagwijn PAZ E4b, based on correlations to terrestrial sites some 250 km to the SW (Kristensen et al., 2000). For a good part of the duration of this upper saline stage, a secondary tidal marine connection between North Sea (German Bight) and the West Baltic may have functioned across Schleswig (Danish-German borderlands; sources in Konradi et al., 2005). 

The truncation of the top of the Cyprina clays, makes that a regressive signal in the fill of the Wisla (Weichsel) palaeovalley (incursed by the Baltic Sea in the Eemian), is more representative to date the end of marine high stand conditions in the West Baltic, than records obtained on the unit itself. The Wisla regressive record starting towards the end of PAZ E5 is known from site Nowiny in Poland (Makowska, 1986 op cit. Funder et al., 2002). In deeper parts of the Baltic sea basin, periglacial marine conditions prevail into the Early Weichselian (e.g. site Plasumi, Kalnina, 2001 op cit. Funder et al. 2002). Houmark-Nielsen (1987: 167) cites the sequence at North Danish site Skaerumhede (Kundsen & Lykke-Andersen, 1982) as Danish stratigraphic evidence for return from deeper 'Borea-Lusitanic' to shallower 'Boreal' conditions during ""a late Eemian/Early Weichselian regression"", recorded in deep waters of the Kattegat (see also Larsen et al., 2009). Seidenkranz (1993: her Zone G), further south but still in the Kattegat deep waters also record a foraminiferal change back to boreal compositions. Winn and Erlenkeuser (1995, 1998) record a similar change in shallower North Sea waters (site Dagebuell; above -15 m MSL; Schleswig coast).",1-2,Equal to,MIS 5e,see main entry for West Baltic Sea Cyprinia Clay,126.0,116.0,"see main entry on West Baltic Sea Cyprinia Clay

This entry for the brackish onset stage:
For the duration estimate follows the calculations by Seidenkranz (1993: Fig. 9: 5000 years) and those featured in the varve-based PAZ chronology (Muller, 1974; Zagwijn, 1996) that Kristensen et al. (2000) also correlate to. The latter comes down to: 4000 (full length of PAZ E5) + 0.5 x 1100 (halfway PAZ E4b) + initial centuries of E6a = 4700 +/- 400.

For the absolute age range 
As Upper Age copies that registered for the entry 'North Sea' Zagwijn Eemian E5/E6 transition. 
As Lower Age copies that registered for the entry 'North Sea' Zagwijn Eemian E4b and adds half the duration of E4b (which is 1100 years). Conservative onset age is  c 126.5.  Adding  half the duration gives 126 ka. 

As for other chronostratigraphic zone entries, this spans the conservative oldest onset age to a conservative youngest possible final age. The 4700 years of duration should be sought within this 10,000 year bracket.",No,Yes,4700,400,Yes,70,Kim Cohen,Kim Cohen,2022-04-16 11:37:04
137,1,Eemian interglacial deposit,"Mangerud et al., 1979","Eemian (MIS 5e) deposits occur throughout northern Europe. They are bounded between glacial deposits of the Saalian Glaciation (MIS 6) and Weichselian Glaciation (MIS 5d-MIS 2). Eemian deposits are correlated to MIS 5e on the basis of stratigraphic position between the two glaciations, as well as pollen, diatom and macrofossil assemblages that indicate terrestrial and marine environments that were as warm or warmer than the Holocene. Weichselian interstadial and non-glacial sediments have assemblages that indicate colder conditions. Radiocarbon ages from Eemian deposits are non-finite.",,Equal to,MIS 5e,The caveat with any sediments that are correlated with the Eemian is that they could correlate with a pre-MIS 6 interglacial if climatic conditions were the same.,130.0,115.0,,Yes,No,,,No,,Evan Gowan,,2021-03-15 15:32:44
101,1,FR Pumice,"Hayatsu et al., 1982
 Koike and Machida, 2001
 Tam and Yokoyama, 2021",Furumachi Pumice Layer dated to 90 Ka (Niigata),,Equal to,MIS 5,,0.0,0.0,90-0 ka,Yes,,,,,,Evan Tam,Evan Tam,2020-10-09 01:27:09
15,1,Facies 1 One Tree Point,"Nichol, 2002
 Ryan et al., 2020","Nearshore facies as described in type section:
Moderately sorted, medium to coarse-grained sand comprising mostly quartz but with minor (<1%) amounts of heavy mineral (titanomagnetite) that are organised as mm-thick laminae in small-scale, trough and planar cross-beds. Locally, fossil imprints of Pectin shells and isolated gravel clasts are preserved near the base of the cliff section. Facies is of unknown thickness and in places is sub-lithified and dark brown in color, indicating B-horizon development in a podzolic soil profile. 

Correlates to ground penetrating radar Facies 1 mapped elsewhere on the point.",,Equal to,MIS 5,MIS 5,134.0,96.0,"Age determined from thermoluminescence sample, OTP 1, of overlying aeolian deposits at the type section. However, two additional TL samples were taken of this aeolian unit providing younger ages. The youngest TL age (OTP3) is 85 +/- 8 ka.",No,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 16:58:39
14,1,Facies 2 One Tree Point,"Nichol, 2002
 Ryan et al., 2020","Lower beach facies as described at the type section:
A gradational contact defines the upward transition from Facies 1 to this horizontal tabular-bedded and laminated, fine to medium grained sand (moderate to well-sorted) of mixed quartz and mafic mineralogy. Laminae are highlighted by heavy mineral concentrations, generally <1 cm thick. Locally, burrow traces (e.g. Skolithos) are preserved, but at relatively low density. The deposit, interpreted as basal nearshore / lower beach facies, has an average thickness of 2.5 m and upper contact is defined by a continuous planar bed of heavy mineral sand that in type section follows a northward strike slope of about 1 degree and ranges in thickness from 5 to 50 mm. This uppermost heavy mineral bed is also exposed in cross-section at other locations along the One Tree Point cliff exposure, where it dips seaward at 3 to 6 degrees. This upper contact with Facies 3 is used as the RSL indicator.
Correlates to ground penetrating radar Facies II mapped elsewhere on the point.",2.5,Equal to,MIS 5,MIS 5,134.0,96.0,"Age determined from thermoluminescence sample, OTP 1, of overlying aeolian deposits at the type section. However, two additional TL samples were taken of this aeolian unit providing younger ages. The youngest TL age (OTP3) is 85 +/- 8 ka.",No,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 16:58:25
13,1,Facies 3 One Tree Point,"Nichol, 2002
 Ryan et al., 2020","Foredune facies as described in type section: 
The uppermost facies, comprised of a 2 m thick deposit of generally massive, well-sorted quartz sand. Local physical structures include indistinct medium- to large-scale trouph cross-bedding and high-angle planar bedding lacking strong definition in outcrop. Facies is thickest beneath ridges and in intervening swales is overlain by 1-2 m of peat. 
The contact between Facies 3 and Facies 2 can be traced along 3.4 km of dip-section on northeast facing shoreline of One Tree Point. At many localities this facies contact is defined by the position of the uppermost heavy mineral bed - interpreted as the high tide swash deposit (RSL indicator). The elevation of this contact dips sea-ward from a maximum of +6 m to +3 m with variations of +2.5 m from the trend line. ",2 m,Equal to,MIS 5,MIS 5,134.0,96.0,"Age determined from thermoluminescence sample, OTP 1, of overlying aeolian deposits at the type section. However, two additional TL samples were taken of this aeolian unit providing younger ages. The youngest TL age (OTP3) is 85 +/- 8 ka.",No,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 16:58:10
84,1,"Galim, Carmel coast - beach deposits","Galili et al, 2007
 Sivan and Galili, 2020","Beach deposite composed mainly of fine quartz sand, partly broken and crushed marine mollusk shells, few limestone and flint pebbles (2–4 cm long) and the dominant mollusk species of the families Glycymerididae, Donacidae and Cardiidae. Few fragments of gastropods were also found cemented. The unit includes also few man-made Middle Palaeolithic flint artifacts.",4,Equal to,MIS 5e,"The affiliation to MIS5 is based on the sedimentary characteristics, indicative faunal assemblage and flint man-made artifacts.  The flint assemblage in the beach deposit contains high percentage of Levallois products characteristic of the Middle Palaeolithic in the Mount Carmel caves to the east (Farrand, 1994). The unit is chronologically constrained by RTL ages of the units below and above (Neber 2002; Frechen et al., 2004)",,,,Yes,,,,,,Dorit Sivan and Ehud Galili,,2020-09-21 19:29:28
94,1,Hachinohe Pumice,"Koike and Machida, 2001
 Tam and Yokoyama, 2021","Hachinohe Pumice from the Towada Volcano in northern Honshu, Japan",,Equal to,MIS 5,,0.0,0.0,130-0,No,No,,,No,,Evan Tam,,2020-10-07 07:01:59
