WALIS ESR ID,Is this datapoint public?,Method,IGSN,Reference(s),Sample ID,Analysis ID,Reported ID,Laboratory name,Date of analysis,Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Age is Older/Younger/Equal to,Marine Isotopic Stage,Comments/details on MIS designation or age,Age (ka),Age uncertainty (ka),Mineral type,Grain size (µm),Aliquot size (mg),Measurement protocol,ESR spectrometre type,Measurement temperature (K),Acquisition parameters,ESR signal,Number of scans,Number of repeated measurements,Number of rotations in the cavity,Evaluation of the ESR signal intensity,Correction of the ESR intensities,Bleaching coefficient (%),Fitting program and error calculation,Fitting function,Data weighting used for fitting,Equivalent dose estimate (Gy),Equivalent dose estimate undertainty (±1σ) (Gy),Depth (m),Technique,Dose rate uncertainty type,external U (ppm),external U error (ppm),external Th (ppm),external Th error (ppm),external K (%),external K error (%),external Rb (ppm),external Rb error (ppm),External dose rate (Gy/ka),External dose rate uncertainty (Gy/ka),internal U (ppm),internal U error (ppm),internal Th (ppm),internal Th error (ppm),internal K (%),internal K error (%),internal Rb (ppm),internal Rb error (ppm),Internal dose rate (Gy/ka),Internal dose rate uncertainty (Gy/ka),Alpha dose rate (Gy/ka),Alpha dose rate error (Gy/ka),Gamma dose rate (Gy/ka),Gamma dose rate error (Gy/ka),Beta dose rate (Gy/ka),Beta dose rate error (Gy/ka),Cosmic dose rate (Gy/ka),Cosmic dose rate error (Gy/ka),Field water content (% of dry mass),Water content determination method,Water content used (%),Water content used error (%),Attenuation factors,Conversion factors,Alpha efficiency factor,Etching method,Etch depth (µm),Etch depth error (µm),Total dose rate (Gy/ka),Total dose rate uncertainty (Gy/ka),Comments and notes,Record created by,Record updated by,Last Update
197,1,Molluscs,,"Brückner, 1986",BR86-004,BR86-004-002,E-75-b,,,Yes,,,,38.234985,-0.513647,Yes,N/A,Cross-section from publication,3,N/A,N/A,N/A,Coordinates and elevation are approximate.,Equal to,N/A,,89.00,17.80,,,,,,,,,,,,,,,,,,53.80000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61000000,,D0 is expressed in mGy/a,Alessio Rovere,Alessio Rovere,2021-06-24 15:20:25
198,1,Molluscs,,"Brückner, 1986",BR86-005,BR86-005-001,E-70,,,Yes,,,,38.352734,-0.409682,Yes,N/A,Cross-section from publication,2,N/A,N/A,N/A,Coordinates and elevation are approximate.,Equal to,N/A,,112.00,22.40,,,,,,,,,,,,,,,,,,88.60000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79000000,,D0 is expressed in mGy/a,Alessio Rovere,Alessio Rovere,2021-06-24 16:05:30
199,1,Molluscs,,"Brückner, 1986",BR86-006,BR86-006-001,E-44(a),,,Yes,,,,41.059166,1.161820,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,"Coordinates and elevation are approximate. These are the coordinates for Cala Font, while the text says the sample was taken at a site called El Recó, which cannot be identified but should be closeby.",Equal to,N/A,,94.00,18.80,,,,,,,,,,,,,,,,,,98.90000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05000000,,D0 is expressed in mGy/a,Alessio Rovere,Alessio Rovere,2021-06-24 16:22:13
200,1,Molluscs,,"Brückner, 1986",BR86-006,BR86-006-002,E-44(b),,,Yes,,,,41.059166,1.161820,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,"Coordinates and elevation are approximate. These are the coordinates for Cala Font, while the text says the sample was taken at a site called El Recó, which cannot be identified but should be closeby.",Equal to,N/A,,142.00,28.40,,,,,,,,,,,,,,,,,,157.30000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11000000,,D0 is expressed in mGy/a,Alessio Rovere,Alessio Rovere,2021-06-24 16:26:26
191,1,Molluscs,,"Brückner, 1986
 Cerrone et al., 2021",BR86-007,BR86-007-001,MA1a,,,Yes,,,,35.227333,-3.211035,Yes,Mean Sea Level / General definition,Not reported,5,1,N/A,N/A,,Equal to,MIS 5e,,94.30,18.86,,,,,,,,,,,,,,,,,,76.20000000,,,,1-sigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81000000,,,Ciro Cerrone,Ciro Cerrone,2021-06-23 16:40:01
192,1,Molluscs,,"Brückner, 1986
 Cerrone et al., 2021",BR86-008,BR86-008-001,MA1b,,,Yes,,,,35.227333,-3.211035,Yes,Mean Sea Level / General definition,Not reported,5,1,N/A,N/A,,Equal to,MIS 5e,,133.90,26.80,,,,,,,,,,,,,,,,,,88.80000000,,,,1-sigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66000000,,,Ciro Cerrone,Ciro Cerrone,2021-06-23 16:43:56
201,1,Molluscs,,"Brückner, 1986",BR86-009,BR86-009-001,E-57-A(a),,,Yes,,,,40.958015,0.879556,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,Coordinates and elevation are approximate. ,Equal to,N/A,,99.00,29.70,,,,,,,,,,,,,,,,,,78.40000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79000000,,D0 is expressed in mGy/a,Alessio Rovere,Alessio Rovere,2021-06-24 16:32:51
202,1,Molluscs,,"Brückner, 1986",BR86-010,BR86-010-001,E-57-A(b),,,Yes,,,,40.958015,0.879556,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,Coordinates and elevation are approximate. ,Equal to,N/A,,142.00,42.60,,,,,,,,,,,,,,,,,,86.10000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88000000,,D0 is expressed in mGy/a,Alessio Rovere,Alessio Rovere,2021-06-24 16:33:48
193,1,Molluscs,,"Brückner, 1986
 Cerrone et al., 2021",BR86-011,BR86-011-001,MA-3a,,,Yes,,,,35.225917,-3.209594,Yes,Mean Sea Level / General definition,Not reported,5,1,N/A,N/A,,Equal to,MIS 5e,,140.40,28.10,,,,,,,,,,,,,,,,,,101.00000000,,,,1-sigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72000000,,,Ciro Cerrone,Ciro Cerrone,2021-06-23 17:24:27
194,1,Molluscs,,"Brückner, 1986
 Cerrone et al., 2021",BR86-012,BR86-012-001,MA-3b,,,Yes,,,,35.225917,-3.209594,Yes,Mean Sea Level / General definition,Not reported,5,1,N/A,N/A,,Equal to,MIS 5e,,114.80,23.00,,,,,,,,,,,,,,,,,,84.40000000,,,,1-sigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74000000,,,Ciro Cerrone,Ciro Cerrone,2021-06-23 17:26:16
203,1,Molluscs,,"Brückner, 1986",BR86-013,BR86-013-001,E-58(a),,,Yes,,,,40.899511,0.822442,Yes,N/A,"dGPS, hand level and tape",N/A,N/A,N/A,N/A,Coordinates and elevation are approximate. ,Equal to,N/A,,142.00,42.60,,,,,,,,,,,,,,,,,,49.00000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000,,D0 is expressed in mGy/a,Alessio Rovere,Alessio Rovere,2021-06-24 17:01:49
102,1,Corals,,"Cox et al., 2008
 Simms, 2021",CO08-001,CO08-001-001,Interior fossil reef,University of Memphis and the Ohio State University,,Yes,,,,16.278060,-86.593674,Yes,Mean Sea Level / General definition,Not reported,37.2,N/A,N/A,N/A,,Equal to,MIS 5e,The authors are not terribly confident in their age assignment.  State that it is equal to or younger than this age.,138.90,27.80,low-Mg Calcite,,,,Varian ESR spectrometer,Room temperature,"scanned over a range of 800 Gauss, centered at 3360 Gauss using 10 mW of power. ",,4,3,,peak-to-peak?,,,,,,100.00000000,,,,2-sigma,,,,,,,,,8.40000000,,2.80000000,0.70000000,0.44200000,0.04700000,1730.00000000,0.20000000,,,8.97000000,2.28000000,,,,,,,,,,,,,,"0.08 (Schellman and Radtke, 2004)",,,,,720.00000000,180.00000000,"They are dating the time since recrystallization of the corals, which they assume was done by diagenesis soon after deposition.",Alexander Simms,,2020-04-27 17:27:58
135,1,Molluscs,,"Ferranti et al., 2006
 Cerrone et al., 2021",FE06-001,FE06-001-001,K-4383,University of Cologne,2020-10-26 00:00:00,Yes,,,,44.662453,12.183750,No,Mean Sea Level / General definition,"dGPS, hand level and tape",-112.5,10,112.5,10,,,MIS 5e,,124.00,20.00,,,,,,,,,,,,,,,,,,163.09000000,18.91000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Fontana,Alessandro Fontana,2020-10-27 08:55:33
134,1,Molluscs,,"Ferranti et al., 2006
 Cerrone et al., 2021",FE06-002,FE06-002-001,K-4384,University of Cologne,2020-10-26 00:00:00,Yes,,,,44.287225,12.326817,No,Mean Sea Level / General definition,Distance from top of drill core,-117,1,N/A,N/A,,,N/A,The sample was collected from the beach ridge deposits which belong to the coastal wedge that can be followed in several cores along the coast of Emilia Romagna. This wedge was formed during the transgression at the base of MIS5.,129.00,18.00,,,,,,,,,,,,,,,,,,126.64000000,7.92000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Fontana,Alessandro Fontana,2020-10-27 08:20:29
136,1,Molluscs,,"Ferranti et al., 2006
 Cerrone et al., 2021",FE06-003,FE06-003-001,K-4385,University of Cologne,2020-10-26 00:00:00,Yes,,,,44.548589,11.940942,No,Mean Sea Level / General definition,Distance from top of drill core,-85.5,10,,N/A,,Equal to,N/A,The daes provide an estimate of the MIS 5e transgression,154.00,26.00,,,,,,,,,,,,,,,,,,209.51000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Fontana,,2020-10-27 09:05:39
104,1,Corals,,"Gray et al., 1992
 Hallmann et al., 2021",GR92-001,GR92-001-001,991,University of Düsseldorf,,Yes,,,,-10.855258,-165.844111,Yes,Mean Sea Level / General definition,Not reported,-21.77,N/A,N/A,N/A,drill hole in lagoon,Equal to,MIS 5,"Repeated ESR analyses of corals give standard deviations less than 10-15% (Radtke and Grün,
1988). We therefore, estimate an age uncertainty
of 15%.",144.00,22.00,aragonite,100-200,,"samples were divided into 15 aliquots and irradiated stepwise with defined gamma doses of a 60Co source (0, 20, 40, 60, 80, 100, 125, 150, 175, 200, 250, 300, 350, 400, and 500 Gy); frequency 9.5 GHz; magnetic field strength of about 340 mT",Bruker 200 tt ESR spectrometer,,"The microwave power was 4 MW, modulation amplitude was 0.1 mTpp, and the scan time 1 mT/min. The peak at g= 2.0007 in the ESR-spectra was used for determining
the AD. The alpha-efficiency (""k-value"") was 0.06 (Radtke and Grün, 1988).",,,,,,,,"Non-linear fitting of the AD-curve was done by the computer program ""REGRESS"", and age calculation by the program ""DATA IV"" (both by R. Grün).",,,,,,accumulation dose 103.4 Gy; annual dose 0.7167 m Gy/a,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porites,Nadine Hallmann,Nadine Hallmann,2020-05-05 07:29:31
105,1,Corals,,"Gray et al., 1992
 Hallmann et al., 2021",GR92-002,GR92-002-001,951,University of Düsseldorf,,Yes,,,,-10.855258,-165.844111,Yes,Mean Sea Level / General definition,Not reported,-24.85,N/A,N/A,N/A,drill hole in lagoon,Equal to,MIS 5,"Repeated ESR analyses of corals give standard
deviations less than 10-15% (Radtke and Grün,
1988). We therefore, estimate an age uncertainty
of 15%.",136.00,20.00,aragonite,100-200,,"samples were divided into 15 aliquots and irradiated stepwise with defined gamma doses of a 60Co source
(0, 20, 40, 60, 80, 100, 125, 150, 175, 200, 250,
300, 350, 400, and 500 Gy); frequency 9.5 GHz; magnetic field strength of about 340 mT",Bruker 200 tt ESR spectrometer,,"The microwave power was 4 MW, modulation amplitude was 0.1 mTpp, and the scan time 1 mT/min. The peak at g= 2.0007 in the ESR-spectra was used for determining
the AD. The alpha-efficiency (""k-value"") was 0.06 (Radtke and Grün, 1988).",,,,,,,,"Non-linear fitting of the AD-curve was done by the computer program ""REGRESS"", and age calculation by the program ""DATA IV"" (both by R. Grün).",,,,,,accumulation dose 98.9 Gy; annual dose 0.7304 m Gy/a,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porites,Nadine Hallmann,,2020-05-05 07:28:24
165,1,Corals,,"Hantoro et al., 1994
 Maxwell et al., 2021",HA94-003,HA94-003-002,"II4, GDL.7.1",,,Yes,,,,-8.171522,124.588071,Yes,Mean Sea Level / General definition,Barometric altimeter,115,10,N/A,N/A,"Altitudes were measured with a spirit level and a folding ruler for Holocene samples and estimated using three pocket altimeters for higher terraces. Since interpolated corrections for barometric changes were often not possible, altitudes above 100 m are accurate only to +10m.",Equal to,MIS 5e,"Uncertainty ranges of ESR dates have been estimated at 15%. Sample preparation, ESR measurement and age calculation were carried out following Grün (1989).",111.00,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This reported ESR age has a corresponding U-Th age. ,Kathrine Maxwell,Kathrine Maxwell,2021-02-23 15:33:06
166,1,Corals,,"Hantoro et al., 1994
 Maxwell et al., 2021",HA94-004,HA94-004-002,"II5, MLI,4.3b",,,Yes,,,,-8.134377,124.593223,Yes,Mean Sea Level / General definition,Barometric altimeter,85,10,N/A,N/A,"Altitudes were measured with a spirit level and a folding ruler for Holocene samples and estimated using three pocket altimeters for higher terraces. Since interpolated corrections for barometric changes were often not possible, altitudes above 100 m are accurate only to +10m.",Equal to,MIS 5e,"Uncertainty ranges of ESR dates have been estimated at 15%. Sample preparation, ESR measurement and age calculation were carried out following Grün (1989).",131.00,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This reported ESR age has a corresponding U-Th age. ,Kathrine Maxwell,Kathrine Maxwell,2021-02-23 15:33:37
167,1,Corals,,"Hantoro et al., 1994
 Maxwell et al., 2021",HA94-005,HA94-005-002,II6?. BJT.7.1,,,Yes,,,,-8.174395,124.587056,Yes,Mean Sea Level / General definition,Barometric altimeter,150,10,N/A,N/A,"Altitudes were measured with a spirit level and a folding ruler for Holocene samples and estimated using three pocket altimeters for higher terraces. Since interpolated corrections for barometric changes were often not possible, altitudes above 100 m are accurate only to +10m.",Equal to,MIS 5e,"Uncertainty ranges of ESR dates have been estimated at 15%. Sample preparation, ESR measurement and age calculation were carried out following Grün (1989).",117.00,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This reported ESR age has a corresponding U-Th age.,Kathrine Maxwell,Kathrine Maxwell,2021-02-23 15:33:49
220,1,Molluscs,,"Korsakova et al., 2016",KO16-001,KO16-001-001,N/A,"Research Laboratory for Quaternary Geochronology (RLQG), Institute of Geology, Tallinn University of Technology",,Yes,,,,67.078000,41.131000,No,Mean Sea Level / General definition,Cross-section from publication,11.1,N/A,11.1,2.2,Elevation taken from a stratigraphic section diagram. An uncertainty of 20% of the elevation is applied.,Equal to,MIS 5,"Based on stratigraphic context, this age may indicate that the interglacial highstand may have continued through to MIS 5c.",96.00,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Astarte borealis and Chlamys islandicus shells,Evan Gowan,,2021-08-20 09:21:17
221,1,Molluscs,,"Korsakova et al., 2016",KO16-002,KO16-002-001,N/A,"Research Laboratory for Quaternary Geochronology (RLQG), Institute of Geology, Tallinn University of Technology",,Yes,,,,67.078000,41.131000,No,Mean Sea Level / General definition,Cross-section from publication,11.6,N/A,11.6,2.3,Elevation taken from a stratigraphic section diagram. An uncertainty of 20% of the elevation is applied.,Equal to,MIS 5,"Based on stratigraphic context, this unit probably dates to the later part of MIS 5, probably MIS 5a",73.00,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,,2021-08-20 09:24:03
222,1,Molluscs,,"Korsakova et al., 2016",KO16-003,KO16-003-001,N/A,"Research Laboratory for Quaternary Geochronology (RLQG), Institute of Geology, Tallinn University of Technology",,Yes,,,,67.078000,41.131000,No,Mean Sea Level / General definition,Cross-section from publication,12.1,N/A,12.1,2.4,Elevation taken from a stratigraphic section diagram. An uncertainty of 20% of the elevation is applied.,Equal to,MIS 5,"Based on stratigraphic context, this unit probably dates to the later part of MIS 5, probably MIS 5a",74.00,8.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,,2021-08-20 09:25:28
223,1,Molluscs,,"Korsakova et al., 2004
 Korsakova, 2019",KO19-001,KO19-001-001,TLN 267–129,"Research Laboratory for Quaternary Geochronology (RLQG), Department of Geology, Tallinn University of Technology",,Yes,,,,66.114000,38.970000,No,Not reported,Cross-section from publication,9,N/A,9,1.8,"The method of determining elevation was not stated, so 20% of the reported elevation is taken as the uncertainty.",Equal to,MIS 5,MIS 5e age assignment is supported by mollusc species that indicate warmer than present water conditions. The age was determined using the early uptake model.,128.00,7.50,,,,,,,,g = 2.0012,,,,,,,,,,,,,"238U, 235U,  232Th and 40K were measured using a multichannel gamma-ray spectrometer with a 150 mm diameter × 100 mm thick low-background sodium iodide crystal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,,2021-08-25 08:24:31
224,1,Molluscs,,"Korsakova, 2019",KO19-002,KO19-002-001,RLQG 395-2-039,"Research Laboratory for Quaternary Geochronology (RLQG), Department of Geology, Tallinn University of Technology",,Yes,,,,66.114000,38.970000,No,Not reported,Cross-section from publication,9,N/A,9,1.8,"The method of determining elevation was not stated, so 20% of the reported elevation is taken as the uncertainty.",Equal to,MIS 5,MIS 5e age assignment is supported by mollusc species that indicate warmer than present water conditions. The age was determined using the early uptake model.,138.50,9.60,,,,,,,,g = 2.0012,,,,,,,,,,,,,"238U, 235U,  232Th and 40K were measured using a multichannel gamma-ray spectrometer with a 150 mm diameter × 100 mm thick low-background sodium iodide crystal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,,2021-08-25 08:25:54
225,1,Molluscs,,"Korsakova et al., 2004
 Korsakova, 2019",KO19-003,KO19-003-001,TLN 346–073,"Research Laboratory for Quaternary Geochronology (RLQG), Department of Geology, Tallinn University of Technology",,Yes,,,,66.100000,38.570000,No,Not reported,Cross-section from publication,33.5,N/A,9,6.7,"The method of determining elevation was not stated, so 20% of the reported elevation is taken as the uncertainty.",Equal to,MIS 5,MIS 5e age assignment is supported by mollusc species that indicate warmer than present water conditions. The age was determined using the early uptake model.,115.50,11.20,,,,,,,,g = 2.0012,,,,,,,,,,,,,"238U, 235U,  232Th and 40K were measured using a multichannel gamma-ray spectrometer with a 150 mm diameter × 100 mm thick low-background sodium iodide crystal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2022-02-15 03:15:08
112,1,Molluscs,,"Marra et al., 2019
 Cerrone et al., 2021",MA19-001,MA19-001-001,QDT 1601,"the Muséum National d’Histoire Naturelle (MNHN), Paris, France",,Yes,,,,41.457100,12.774200,Yes,Mean Sea Level / General definition,Not reported,N/A,N/A,N/A,N/A,,,N/A,,79.00,7.00,Aragonite,,,,EMX Bruker,,,,,,,,,,,,,93.71000000,5.96000000,,,N/A,1.81000000,0.09000000,5.61000000,0.12000000,1.09000000,0.01000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessio Rovere,,2020-05-07 05:17:37
