WALIS U-Series ID,Is this datapoint public?,Material type,Details on dated material,Type of spectrometry,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Accepted?,Reason for rejection,Screening,Latitude (decimal degrees),Longitude (decimal degrees),Reported Latitude,Reported Longitude,Are Lat/Long estimated?,Comments on geographic coordinates,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Terrace ID,Facies description,Reported as in situ?,Reported as in growth position?,Taxa information (as reported),Family,Genus,Species,Pa/Th age?,14C age?,Instrument,Decay constants,Comments on decay constants,Calibration method for 230Th/238U ratio,Calibration method for 234U/238U ratio,Comments on spike calibration,Published % calcite,Interpreted % calcite,[230Th/232Th]ACT backcalculated?,[232Th/238U]ACT backcalculated?,[230Th/238U]ACT backcalculated?,[234Th/238U]ACT backcalculated?,[232Th] (ppb),[232Th] (ppb) uncertainty (±2σ),[238U] (ppm),[238U] (ppm) uncertainty (±2σ),Atomic ratio (232Th/238U)*10^5,Initial 230Th/232Th,[230Th/232Th]ACT,[230Th/232Th]ACT uncertainty (±2σ),[232Th/238U]ACT,[232Th/238U]ACT uncertainty (±2σ),[230Th/234U]ACT,[230Th/234U]ACT uncertainty (±2σ),Reference material name for 230Th/238U,Reference material name for 234U/238U,Correction factor for 230Th/238U,Correction factor for 230Th/238U uncertainty (±2σ),Correction factor for 234U/238U,Correction factor for 234U/238U uncertainty (±2σ),Comments,Recalculated [230Th/238U]ACT,Recalculated [230Th/238U]ACT uncertainty (±2σ),Recalculated [234U/238U]ACT,Recalculated [234U/238U]ACT uncertainty (±2σ),Age is Older/Equal/Younger than,Marine Isotopic Stage,Age determination,Record created by,Record updated by,Last Update
519,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-009,AC10-009-001,KR 58,,Yes,,,-3.558611,39.905000,,,No,,Mean Sea Level / General definition,Not reported,4,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,23,4,1.216,0.032,,,120,26,,,0.742,0.036,,,,,,,,1.103,0.028,1.487,0.054,Equal to,"MIS 5e, MIS 5d",closed age = 132 ±12 ka (originally ± 6 at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:45:43
520,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-010,AC10-010-001,LM 21,,Yes,,,-2.326111,40.918056,,,No,,Mean Sea Level / General definition,Not reported,3,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,11,1,0.439,0.012,,,112,24,,,0.696,0.026,,,,,,,,0.883,0.036,1.269,0.032,Equal to,"MIS 5e, MIS 5d",closed age = 122 ± 8 ka (originally ±4 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:47:04
521,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-011,AC10-011-001,KR 4,,Yes,,,-2.985833,40.238333,,,No,,Mean Sea Level / General definition,Not reported,3,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,2,,2.056,0.078,,,300,,,,0.710,0.040,,,,,,,,0.820,0.048,1.155,0.030,Equal to,"MIS 5e, MIS 5d",closed age = 129 ± 12 ka (originally ± 6 at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:48:22
526,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-012,AC10-012-001,KR 49,,Yes,,,-4.594167,39.453611,,,No,,Mean Sea Level / General definition,Not reported,6,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,4.5,0.6,0.075,0.002,,,32,4,,,0.59,0.018,,,,,,,,0.642,0.020,1.088,0.034,Equal to,MIS 5c,closed age = 95 ± 4 ka (originally ± 2 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:53:44
522,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-013,AC10-013-001,PL 85,,Yes,,,-4.605833,39.400000,,,No,,Mean Sea Level / General definition,Not reported,4,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,0.1,,0.0497,0.0014,,,140,60,,,0.663,0.022,,,,,,,,0.794,0.028,1.197,0.042,Equal to,MIS 5c,closed age = 113 ± 6 ka (originally ±3 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:50:32
523,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-014,AC10-014-001,LB 1,,Yes,,,-4.285278,39.596111,,,No,,Mean Sea Level / General definition,Not reported,2,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,3,1.4,0.088,0.002,,,60,30,,,0.628,0.040,,,,,,,,0.695,0.044,1.107,0.05,Equal to,MIS 5c,closed age = 105 ± 12 ka (originally ±6 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:52:07
525,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-015,AC10-015-001,PL 88,,Yes,,,-4.605833,39.400000,,,No,,Mean Sea Level / General definition,Not reported,0,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,15,3,0.0497,0.0014,,,140,60,,,0.663,0.022,,,,,,,,0.794,0.028,1.197,0.042,Equal to,MIS 5c,closed age = 114 ± 12 ka (originally ±6 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:52:47
1977,1,Mollusk or algae,,Alpha,"Antonioli et al., 1994a
 Cerrone et al., 2021",,AN94-001,AN94-001-001,N/A,,Yes,,,40.032645,15.282686,,,Yes,,Mean Sea Level / General definition,Metered tape or rod,6,0.5,N/A,N/A,,,,,,,,Glycimeris,,,,Not reported,No Info,,SE,SE,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,Equal to,MIS 7,The reported age is 165 +55 -36 ka,Ciro Cerrone,Ciro Cerrone,2020-06-20 12:59:20
9,1,Mollusk or algae,,Mass spectrometer,"Authemayou et al., 2017
 Cerrone et al., 2021",,AT17-004,AT17-004-001,4,,No,"From the original authors: ""The young U/Th age yielded by sample 4 may probably be either a consequence of contamination of the sampled shells by post-diagenetic uranium because the (234U/238U) ratio of 1.22 is higher than expected for a marine shell evolving in a closed system [(234U/238U) ≤ 1.15], or due to the sampling of a shell inlayed in the hardened surface on the top of the terrace that could have be formed after the terrace formation""",,36.621830,2.476250,,,No,,Mean Sea Level / General definition,Barometric altimeter,3.50,1.00,3.5,1,,,Bivalve shell inlayed at the hardened surface on top of a metric-scale shelly sandstone unit.,Not Reported,Not Reported,"Not specified, Bivalve shell",,,,,,TIMS,No Info,,SE,SE,"The sample was burn in a clean crucible, then dissolved with a 7 N HNO3 in Teflon beakers, and a known amount of spike (233U, 236U, and 229Th) was added to determine U and Th isotopes by isotope dilution technique. 
Mass fractionation for U was corrected by the double-spike 236U/233U (1.132), while mass fractionation for Th was considered negligible with respect to analytical error.",,,,,,,0.002346,0.0000103,0.5193834,0.0020846,,,388.11,4.912,,,0.4691,0.0072,,,,,,,,,,,,Equal to,MIS 3,Age was rejected by the authors.,Alessio Rovere,Alessio Rovere,2020-04-28 14:45:10
10,1,Mollusk or algae,,Mass spectrometer,"Authemayou et al., 2017
 Cerrone et al., 2021",,AT17-021,AT17-021-001,21,,Yes,,,36.635820,2.670750,,,No,,Mean Sea Level / General definition,Barometric altimeter,5.00,1.00,5,1,,,"Bivalve shell inlayed at the hardened
surface on top of a metric-scale shelly sandstone unit.",Not Reported,Not Reported,Bivalve shell,,,,,,TIMS,No Info,,SE,SE,"The sample was burn in a clean crucible, then dissolved with a 7 N HNO3 in Teflon beakers, and a known amount of spike (233U, 236U, and 229Th) was added to determine U and Th isotopes by isotope dilution technique. 
Mass fractionation for U was corrected by the double-spike 236U/233U (1.132), while mass fractionation for Th was considered negligible with respect to analytical error.",,,,,,,0.0035935,0.0000486,2.03737210,0.01124450,,,1512.514000,29.555000,,,0.633400,0.010300,,,,,,,,,,,,Equal to,MIS 5,"The calculated age is 102.636ka (+2.824 / -2-745 ka). In the paper the deposit is assigned to MIS 5c. From the original authors: ""Sample 21 gives an age associated with MIS5c but could be associated with MIS5e if we considered an underestimated dating induced by an open radioactive system [(234U/238U) ratio of 1.378] or by the sampling at the updated terrace surface as for sample 4.""",Alessio Rovere,Alessio Rovere,2020-03-05 03:46:31
11,1,Mollusk or algae,,Mass spectrometer,"Authemayou et al., 2017
 Cerrone et al., 2021",,AT17-048,AT17-048-001,48,,Yes,,,36.805500,2.906680,,,No,,Mean Sea Level / General definition,Barometric altimeter,7.00,3.00,7.00,3,,,Sample 48 is a bivalve shell inlayed in a ~5-m-high shelly sandstone unit compounded of numerous shells.,Not Reported,Not Reported,Bivalve shell,,,,,,TIMS,No Info,,SE,SE,"The sample was burn in a clean crucible, then dissolved with a 7 N HNO3 in Teflon beakers, and a known amount of spike (233U, 236U, and 229Th) was added to determine U and Th isotopes by isotope dilution technique. 
Mass fractionation for U was corrected by the double-spike 236U/233U (1.132), while mass fractionation for Th was considered negligible with respect to analytical error.",,,,,,,0.008335,0.0000714,0.88919600,0.00645880,,,305.044000,4.589000,,,0.724800,0.012100,,,,,,,,,,,,Equal to,MIS 5e,The calculated age is 130.466 ka (+4466 / -4260 ka). In the paper the deposit is assigned to MIS 5e. ,Alessio Rovere,Alessio Rovere,2020-10-27 09:35:35
2397,1,Mollusk or algae,,Not Reported,"Bradley and Addicott, 1968
 Thompson and Creveling, 2021",,BA68-001,BA68-001-001,Cal-F1,,Yes,,,37.0294755,-122.1923133,,,Yes,Cooridnates are taken from publication maps included in the reporting paper., ,"dGPS, hand level and tape",Not Reported,Not Reported,,,,Santa Cruz,,,,Protothaca staminea,Veneridae,,,No ,No ,Not reported,,,,,,<2,,,,,,,,1.41,0.2,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5,Age = 88 +/- 14,Jessica Creveling and Schmitty Thompson,,2020-11-19 11:24:05
2398,1,Mollusk or algae,,Not Reported,"Bradley and Addicott, 1968
 Thompson and Creveling, 2021",,BA68-002,BA68-002-001,Cal-F3,,Yes,,,37.0294755,-122.1923133,,,Yes,Cooridnates are taken from publication maps included in the reporting paper., ,"dGPS, hand level and tape",Not Reported,Not Reported,,,,Santa Cruz,,,,Tresus nuttallii,Mactridae,Tresus,T. nuttallii,No ,No ,Not reported,,,,,,<2,,,,,,,,1.6,0.14,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5,Age = 76 +/- 8,Jessica Creveling and Schmitty Thompson,,2020-11-19 11:24:05
2399,1,Mollusk or algae,,Not Reported,"Bradley and Addicott, 1968
 Thompson and Creveling, 2021",,BA68-003,BA68-003-001,Cal-F5,,Yes,,,37.0294755,-122.1923133,,,Yes,Cooridnates are taken from publication maps included in the reporting paper., ,"dGPS, hand level and tape",Not Reported,Not Reported,,,,Santa Cruz,,,,Platyodon cancellatus,Myidae ,Platyodon ,Platyodon cancellatus,No ,Yes,Not reported,,,,,,<2,,,,,,,,0.52,0.02,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5,Age = 100 +/- 7,Jessica Creveling and Schmitty Thompson,,2020-11-19 11:24:05
2400,1,Mollusk or algae,,Not Reported,"Bradley and Addicott, 1968
 Thompson and Creveling, 2021",,BA68-003,BA68-003-002,Cal-F5,,Yes,,,37.0294755,-122.1923133,,,Yes,Cooridnates are taken from publication maps included in the reporting paper., ,"dGPS, hand level and tape",Not Reported,Not Reported,,,,Santa Cruz,,,,Platyodon cancellatus,Myidae ,Platyodon ,Platyodon cancellatus,No ,Yes,Not reported,,,,,,<2,,,,,,,,0.55,0.02,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5,Age = 91 +/- 7,Jessica Creveling and Schmitty Thompson,,2020-11-19 11:24:05
531,1,Mollusk or algae,,Alpha,"Belluomini et al., 2002
 Cerrone et al., 2021",,BE02-002,BE02-002-001M,PR,,Yes,,,40.478337,17.179617,,,Yes,,Not reported,Not reported,1.5,N/A,N/A,N/A,,,,,,,,Glycimeris,,,,TIMS,No Info,,SE,SE,,,,,,,,,,0.67,0.026,,,,,,,0.544,0.032,,,,,,,,,,,,Equal to,MIS 5a,The authors report an age of 83.8 +/- 7.3 ka.,Ciro Cerrone,Alessio Rovere,2020-03-04 03:36:59
534,1,Mollusk or algae,,Alpha,"Belluomini et al., 2002
 Cerrone et al., 2021",,BE02-003,BE02-003-001M,ISP2,,Yes,,,40.457552,17.161104,,,Yes,,Not reported,Not reported,2,N/A,N/A,N/A,,,,,,,,Glycimeris,,,,TIMS,No Info,,SE,SE,,,,,,,,,,0.580,0.009,,,,,,,0.336,0.015,,,,,,,,,,,,Equal to,MIS 3,The authors report an age of 44.2 +/- 2.4 ka.,Ciro Cerrone,Alessio Rovere,2020-03-04 03:36:47
536,1,Mollusk or algae,,Alpha,"Belluomini et al., 2002
 Cerrone et al., 2021",,BE02-004,BE02-004-001M,ISP4,,Yes,,,40.453135,17.157284,,,Yes,,Not reported,Not reported,0.6,N/A,N/A,N/A,,,,,,,,Glycimeris,,,,TIMS,No Info,,SE,SE,,,,,,,,,,0.844,0.017,,,1293,,,,0.669,0.017,,,,,,,,,,,,Equal to,MIS 5e,The authors report an age of 116.8 +/- 5.2 ka.,Ciro Cerrone,Alessio Rovere,2020-03-04 04:14:26
1896,1,Mollusk or algae,,Alpha,"Belluomini et al., 1988 (Boll.Soc. Geol. It.)
 Cerrone et al., 2021",,BE98-007,BE98-007-002,Vrica 17,,Yes,,,39.061889,17.125622,,,Yes,,Mean Sea Level / General definition,Metered tape or rod,150,0.2,N/A,N/A,,,,,,,,Penna nobilisi,,,,Not reported,No Info,,SE,SE,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5e,The authors report an age of 150 ka.,Ciro Cerrone,Ciro Cerrone,2020-05-14 13:20:17
1684,1,Mollusk or algae,Aeolianite cement,Mass spectrometer,"Bosman, 2012
 Cooper and Green, 2020",,BO12-001,BO12-001-001,GC-4,,Yes,,,-30.250000,30.816667,,,Yes,,Not reported,Not reported,-15,1,N/A,N/A,,,,,,,,,,,,TIMS,No Info,,SE,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5,"U series age = 121785. Error 6812

",Andrew Cooper,WALIS Admin,2020-12-16 11:03:02
1685,1,Mollusk or algae,Aeolianite cement,Mass spectrometer,"Bosman, 2012
 Cooper and Green, 2020",,BO12-002,BO12-002-001,GC-7,,Yes,,,-30.250000,30.816667,,,Yes,,Not reported,Not reported,-16,1,N/A,N/A,,,,,,,,,,,,TIMS,No Info,,SE,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5,"U series age = 90526. Error 2658

",Andrew Cooper,WALIS Admin,2020-12-16 11:03:21
1955,1,Mollusk or algae,,Alpha,"Brancaccio et al., 1978
 Cerrone et al., 2021",,BR78-002,BR78-002-001,C-2,,No,Open system,,40.613522,14.575294,,,Yes,,Mean Sea Level / General definition,Metered tape or rod,4.5,0.5,N/A,N/A,,,,,,,,Natica,,,,Not reported,No Info,,SE,SE,,<3,,no,no,no,no,,,2.58,0.06,,,24,3,,,,,,,,,,,,,,,,Equal to,MIS 5e,The authors report an age of 87 +-10 ka.,Ciro Cerrone,Ciro Cerrone,2021-08-31 07:21:33
3185,1,Mollusk or algae,,Alpha,"Brückner, 1980
 Cerrone et al., 2021",,BR80-001,BR80-001-001,N/A,,Yes,,,40.353955,16.777243,,,Yes,,Mean Sea Level / General definition,Metered tape or rod,N/A,N/A,N/A,N/A,,T1,,,,,,,,,,Not reported,No Info,,SE,SE,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5a,,Ciro Cerrone,Ciro Cerrone,2021-06-10 09:57:19
3186,1,Mollusk or algae,,Alpha,"Brückner, 1980
 Cerrone et al., 2021",,BR80-002,BR80-002-001,N/A,,Yes,,,40.353955,16.777243,,,Yes,,Mean Sea Level / General definition,Metered tape or rod,N/A,N/A,N/A,N/A,,T1,"Dating from molluscs in Cozzo Marziotta at the bottom of the main gravel body (Brückner, 1980)",,,,,,,,,Not reported,No Info,,SE,SE,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5a,,Ciro Cerrone,Ciro Cerrone,2021-06-10 09:57:07
3188,1,Mollusk or algae,,Alpha,"Brückner, 1986
 Cerrone et al., 2021",,BR86-001,BR86-001-001,MA-16,,Yes,,,35.537777,-5.215318,,,Yes,,Mean Sea Level / General definition,Metered tape or rod,5,1,,,,,,,,,,,,,,Not reported,No Info,,SE,SE,,,,no,no,no,no,0.016,0.007,0.336,0.0013,,,,,,,0.79,0.09,,,,,,,,,,,,,N/A,,Ciro Cerrone,Ciro Cerrone,2021-06-23 20:35:57
3200,1,Mollusk or algae,,Alpha,"Brückner, 1986",,BR86-001,BR86-001-001,E-32(b),,N/A,,,38.200564,-0.511227,,,Yes,Coordinates estimated from map in paper, ,Not reported,N/A,N/A,,,,,,,,,Strombus,latus,,,,Not reported,No Info,,SE,SE,,,,,,,,80,20,0.756,0.03,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5,Age reported is 94.5 to 133,Alessio Rovere,,2021-06-24 15:27:56
3201,1,Mollusk or algae,,Alpha,"Brückner, 1986",,BR86-002,BR86-002-001,E-57-A(a),,N/A,,,40.958015,0.879556,,,Yes,Coordinates are approximate, ,Not reported,N/A,N/A,,,,,,,,,,,,,,Not reported,No Info,,SE,SE,,,,,,,,20,10,1.61,0.04,,,,,,,,,,,,,,,,,,,,Equal to,MIS 5c,Age reported is 73 to 90 ka,Alessio Rovere,Alessio Rovere,2021-06-24 16:36:39
3192,1,Mollusk or algae,,Alpha,"Brückner, 1986
 Cerrone et al., 2021",,BR86-003,BR86-003-001,MA-13,,Yes,,,35.514598,-5.159386,,,Yes,,Mean Sea Level / General definition,Metered tape or rod,1,0.5,N/A,N/A,,,,,,,,,,,,Not reported,No Info,,SE,SE,,,,no,no,no,no,0.02,0.007,1.04,0.02,,,,,,,0.63,0.02,,,,,,,,,,,,Equal to,MIS 5a,,Ciro Cerrone,Ciro Cerrone,2021-06-23 20:32:22
