Field,Type,Collation,Null,Key,Comment
Speleo_insitu,varchar(45),utf8_general_ci,YES,,Reported in situ?
Speleo_deposit_type,varchar(45),utf8_general_ci,YES,,Type of deposit
Speleo_distance_base,varchar(45),utf8_general_ci,YES,,Distance from base of deposit (m)
Speleo_Sampled_material,varchar(45),utf8_general_ci,YES,,Sampled material
Speleo_add_context,longtext,utf8_general_ci,YES,,Additional sample context
Speleo_RSL,varchar(45),utf8_general_ci,YES,,paleo RSL (m)
Speleo_RSL_uncertainty,varchar(45),utf8_general_ci,YES,,paleo RSL uncertainty (m)
Terrace_ID,mediumtext,utf8_general_ci,YES,,Terrace ID
Facies_descr,longtext,utf8_general_ci,YES,,Facies description
In_situ,tinytext,utf8_general_ci,YES,,Reported as in situ?
Growth_pos,tinytext,utf8_general_ci,YES,,Reported as in growth position?
Coral_taxa_information,longtext,utf8_general_ci,YES,,Taxa information (as reported)
Family,mediumtext,utf8_general_ci,YES,,Family
Genus,mediumtext,utf8_general_ci,YES,,Genus
Species,mediumtext,utf8_general_ci,YES,,Species
Original_paleodepth_interpretation,longtext,utf8_general_ci,YES,,Original palaeodepth interpretation
Comments_Ecology,longtext,utf8_general_ci,YES,,Ecological metadata
PWD_estimate,varchar(45),utf8_general_ci,YES,,Paleo water depth estimate (m)
PWD_upper,varchar(45),utf8_general_ci,YES,,Upper limit of living range (m)
PWD_lower,varchar(45),utf8_general_ci,YES,,Lower limit of living range (m)
PWD_comments,longtext,utf8_general_ci,YES,,Paleo water depth comments
Pa_Th_Age,tinytext,utf8_general_ci,YES,,Pa/Th age?
14C_Age,tinytext,utf8_general_ci,YES,,14C age?
Instrument,varchar(45),utf8_general_ci,YES,,Instrument
Decay_Const,varchar(45),utf8_general_ci,YES,,Decay constants
Comments_on_decay_constants,longtext,utf8_general_ci,YES,,Comments on decay constants
Calib_Method_230Th_238U,varchar(45),utf8_general_ci,YES,,Calibration method for 230Th/238U ratio
Calib_Method_234U_238U,varchar(45),utf8_general_ci,YES,,Calibration method for 234U/238U ratio
Comments_on_spike_calibration,longtext,utf8_general_ci,YES,,Comments on spike calibration
Speleo_mineralogy_detected,varchar(45),utf8_general_ci,YES,,How was speleothem mineralogy determined?
Speleo_mineralogy,varchar(45),utf8_general_ci,YES,,Speleothem mineralogy
Other_screening_techniques,longtext,utf8_general_ci,YES,,Other screening techniques applied
Publ_calcite,varchar(400),utf8_general_ci,YES,,Published % calcite
Interpr_calcite,varchar(400),utf8_general_ci,YES,,Interpreted % calcite
230_232_Th_ACT_backcalc,varchar(45),utf8_general_ci,YES,,[230Th/232Th]ACT backcalculated?
232Th_238U_ACT_backcalc,varchar(45),utf8_general_ci,YES,,[232Th/238U]ACT backcalculated?
230Th_238U_ACT_backcalc,varchar(45),utf8_general_ci,YES,,[230Th/238U]ACT backcalculated?
234Th_238U_ACT_backcalc,varchar(45),utf8_general_ci,YES,,[234Th/238U]ACT backcalculated?
232Th,varchar(45),utf8_general_ci,YES,,[232Th] (ppb)
232Th_unc,varchar(45),utf8_general_ci,YES,,[232Th] (ppb) uncertainty (±2σ)
238U,varchar(45),utf8_general_ci,YES,,[238U] (ppm)
238U_unc,varchar(45),utf8_general_ci,YES,,[238U] (ppm) uncertainty (±2σ)
Atom_ratio_232Th_238U,varchar(45),utf8_general_ci,YES,,Atomic ratio (232Th/238U)*10^5
230_232Th_init,varchar(45),utf8_general_ci,YES,,Initial 230Th/232Th
230Th_232Th_ACT,varchar(45),utf8_general_ci,YES,,[230Th/232Th]ACT
230Th_232Th_ACT_unc,varchar(45),utf8_general_ci,YES,,[230Th/232Th]ACT uncertainty (±2σ)
232Th_238U_ACT,varchar(45),utf8_general_ci,YES,,[232Th/238U]ACT
232Th_238U_ACT_unc,varchar(45),utf8_general_ci,YES,,[232Th/238U]ACT uncertainty (±2σ)
230Th_234U_ACT,varchar(45),utf8_general_ci,YES,,[230Th/234U]ACT
230Th_234U_ACT_unc,varchar(45),utf8_general_ci,YES,,[230Th/234U]ACT uncertainty (±2σ)
230Th_238U_ACT,varchar(45),utf8_general_ci,YES,,[230Th/238U]ACT
230Th_238U_ACT_unc,varchar(45),utf8_general_ci,YES,,[230Th/238U]ACT uncertainty (±2σ)
234U_238_ACT,varchar(45),utf8_general_ci,YES,,[234U/238U]ACT
234U_238U_ACT_unc,varchar(45),utf8_general_ci,YES,,[234U/238U]ACT uncertainty (±2σ)
Reported_age,varchar(45),utf8_general_ci,YES,,Reported age (ka)
Reported_age_unc,varchar(45),utf8_general_ci,YES,,"Reported ageuncertainty (ka, ±2σ)"
Speleo_corr_rep_age,varchar(45),utf8_general_ci,YES,,Corrected reported age (ka)
Speleo_corr_rep_age_unc,varchar(45),utf8_general_ci,YES,,"Corrected reported age uncert. (ka, ±2σ)"
Reported_d234U_init,varchar(45),utf8_general_ci,YES,,Reported delta 234U initial (‰)
Reported_d234U_unc,varchar(45),utf8_general_ci,YES,,Reported delta 234U (‰) uncertainty (±2σ)
234U_238U_init,varchar(45),utf8_general_ci,YES,,Initial 234U/238U
234U_238U_init_unc,varchar(45),utf8_general_ci,YES,,Initial 234U/238U uncertainty (±2σ)
234U_238U_meas,varchar(45),utf8_general_ci,YES,,Measured 234U/238U
234U_238U_meas_unc,varchar(45),utf8_general_ci,YES,,Measured 234U/238U uncertainty (±2σ)
Meas_delta234U,varchar(45),utf8_general_ci,YES,,Measured delta234U
Meas_delta234U_unc,varchar(45),utf8_general_ci,YES,,Measured delta234U uncertainty (±2σ)
Comments_Age,longtext,utf8_general_ci,YES,,Comments on age determination
Ref_230Th_238U,varchar(45),utf8_general_ci,YES,,Reference material name for 230Th/238U
Ref_234U_238U,varchar(45),utf8_general_ci,YES,,Reference material name for 234U/238U
Corr_230Th_238U,varchar(45),utf8_general_ci,YES,,Correction factor for 230Th/238U
Corr_230Th_238U_unc,varchar(45),utf8_general_ci,YES,,Correction factor for 230Th/238U uncertainty (±2σ)
Corr_234U_238U,varchar(45),utf8_general_ci,YES,,Correction factor for 234U/238U
Corr_234U_238U_unc,varchar(45),utf8_general_ci,YES,,Correction factor for 234U/238U uncertainty (±2σ)
Comments,longtext,utf8_general_ci,YES,,Comments
Rec_230Th_238U_ACT,varchar(45),utf8_general_ci,YES,,Recalculated [230Th/238U]ACT
Rec_230Th_238U_ACT_unc,varchar(45),utf8_general_ci,YES,,Recalculated [230Th/238U]ACT uncertainty (±2σ)
Rec_234U_238_ACT,varchar(45),utf8_general_ci,YES,,Recalculated [234U/238U]ACT
Rec_234U_238U_ACT_unc,varchar(45),utf8_general_ci,YES,,Recalculated [234U/238U]ACT uncertainty (±2σ)
Rec_age,varchar(45),utf8_general_ci,YES,,Recalculated Conventional Age (ka)
Rec_age_unc,varchar(45),utf8_general_ci,YES,,Recalculated Conventional Age uncert. (±2σ)
Rec_d234U_init,varchar(45),utf8_general_ci,YES,,Recalculated delta 234Ui (‰)
Rec_d234U_unc,varchar(45),utf8_general_ci,YES,,Recalculated delta 234Ui uncertainty (±2σ)
Rec_Conv_age_no_decay,varchar(45),utf8_general_ci,YES,,Recalculated Conventional Age uncert. w/ decay constant uncertainties (±2σ)
Rec_d234Init_no_decay,varchar(45),utf8_general_ci,YES,,Recalculated delta 234Ui uncert. (±2σ) w/ decay constant uncertainties
Comments age and d234Ui,longtext,utf8_general_ci,YES,,Comments (age and delta234i)
MISchoice_limit,varchar(45),utf8_general_ci,YES,,Age is Older/Equal/Younger than
MISchoice,varchar(45),utf8_general_ci,YES,,Marine Isotopic Stage
Age determination,longtext,utf8_general_ci,YES,,Age determination
Createdby,varchar(45),utf8_general_ci,YES,,Record created by
Updatedby,varchar(45),utf8_general_ci,YES,,Record updated by
LastUpdate,datetime,,YES,,Last Update
coord,point,,YES,,MySQL coordinates
