WALIS SLdatum ID,Datum name,Datum description,Datum uncertainty,Reference(s),Record created by,Record updated by,Last Update,General type
22,Local geoid,Geoid calculated ad hoc for the surveyed area.,"Usually, very accurate. Few centimeters.",,Alessio Rovere,Alessio Rovere,2020-05-08 03:25:43,Ordnance or geodetic datum
5,Lowest Astronomical Tide,"Lowest Astronomical Tide, typically used offshore over shelf seas when expressing water depth.","uncertainty is 0.5-1 meter for older datapoints
","Vermeersen et al., 2018",Kim Cohen,,2020-01-07 07:53:14,Tidal datum
15,Maximal Equinoctial Low Tide,Maximal Equinoctial Low Tide,Depending on the tidal data available,,Alessio Rovere,,2020-04-07 14:30:45,Tidal datum
14,Mean High Tide (MHT),"From NOAA definitions: ""It is obtained by subtracting the mean of all the high waters from the mean of the higher high waters. One-half the average difference between the two low waters of each tidal day observed over the National Tidal Datum Epoch.""",Depending on the quality of tidal data used.,,Alessio Rovere,Alessio Rovere,2020-04-07 14:28:33,Tidal datum
23,Mean Higher High Water,the average of the higher high water height of each tidal day observed over a Tdal Datum Epoch (NOAA),Dependent upon the quality of the tidal datum,"Rovere et al., 2016",Deirdre Ryan,Deirdre Ryan,2020-06-23 20:57:32,Tidal datum
17,Mean Low Tide (MLT),"From tideschart.com: ""The Mean Low Tide (or Mean Low Water) is the average height of all low tides in a given place, deriving from a long series of observations (NTDE) of all levels of low tide in that spot.""",Depends,,Alessio Rovere,,2020-04-07 14:33:32,Tidal datum
6,Mean Low Water Springs,"""The average of the heights ... of each pair of successive low waters during that period of about 24 hours in each semi-lunation (approximately every 14 days), when the range of the tide is greatest.""",Declared +/- 0.1 m if datum is derived from 1 year and +/- 0.25 m if measured over 1 month.,"Baker and Watkins, 1991",Patrick Boyden,WALIS Admin,2020-01-28 10:53:46,Tidal datum
16,Mean Low Water Springs (MLWS),"From www.coastalwiki.org: ""The height of mean low water springs is the average throughout a year of the heights of two successive low waters during those periods of 24 hours (approximately once a fortnight) when the range of the tide is greatest.""",Depending on the quality of tidal data,,Alessio Rovere,,2020-04-07 14:32:24,Tidal datum
1,Mean Sea Level / General definition,"General definition of MSL, with no indications on the datum to which it is referred to. ",A datum uncertainty may be established on a case-by-case basis.,,Alessio Rovere,Alessio Rovere,2020-04-19 14:25:12,"N/A or undefined ""Sea level"""
26,Mean sea level from tidal data,Mean sea level derived averaging measured or modelled  water level data,"Variable, depending on the length of water level time series",,WALIS Admin,WALIS Admin,2020-11-19 16:58:04,Tidal datum
20,Modern reef,Upper surface of modern reef,A datum uncertainty may be established on a case-by-case basis.,"Nunn et al., 2002",Gilbert Camoin,Gilbert Camoin,2020-05-06 08:39:07,Biological datum
4,NAP (Netherlands ordnance datum),NAP (Normaal Amsterdams Peil) is the O.D. in the Netherlands. It is about equal to second-half 20th cy MSL (mean half-tide) as observed in tide gauges along the Dutch coast.,"See Vemeersen et al. 2018 en Kooi et al. 1998 for geodetic spatio-temporal uncertainty, and issues of re-calibrations/redefinitions of NAP datum vs. global geoidal datum systems.  The order of uncertainty / error in NAP to 'MSL'  or 'geoidal' references conversions is within 0.05 m for 1980-2020 .","Kooi et al., 1998
 Vermeersen et al., 2018",Kim Cohen,,2020-01-05 17:14:01,Ordnance or geodetic datum
12,NGF,National Geodetic Datum of France,"0,1",,Matteo Vacchi,,2020-04-06 02:34:19,Ordnance or geodetic datum
29,National Geodetic Datum (Korea),"This is the national datum of Korea, otherwise known as the Korean Geodetic Datum.  It is based on mean sea level in Incheon Bay between 1913 and 1916",Not available but likely a few cm,National Geographic Information Institute,Alexander Simms,Alexander Simms,2021-06-03 16:48:57,Ordnance or geodetic datum
11,North American Vertical Datum of 1988 (NAVD88,The official datum of the US National Spatial Reference System for the continental USA and Alaska.,Variable,"National Geodetic Survey, 2018",Alexander Simms,,2020-04-04 18:16:33,Ordnance or geodetic datum
13,Not reported,The sea level datum is not reported and impossible to derive from metadata.,N/A,,Alessio Rovere,,2020-04-07 14:27:03,"N/A or undefined ""Sea level"""
21,OD (Ordnance Datum Newlyn),"OD is defined as the mean sea level at Newlyn (Cornwall, UK) between 1915 and 1921.","Uncertainty in continuous GNSS time series coordinates of land level movement at Newlyn in relation to the geoid between 1998-2014 is +/- 0.2 mm/yr. Uncertainty for the datum is estimated at 0.2 mm/yr since inception in 1915 CE; i.e., +/- 0.02 m","Bradshaw et al., 2016",Rob Barnett,Rob Barnett,2020-05-07 10:19:13,Ordnance or geodetic datum
9,TAW+2.33 (Belgian Ordnance Datum with offset),"TAW is a datum based on Lowest astronomical tide at Oostende (Belgium).

0 m TAW (Belgium) is -2.33 m NAP/NN (Netherlands, Germany, Luxembourg).  Hence +2.33 m is the offset to get from LAT-related to MSL related values. 

0 m TAW (Belgium) is -1.83 m French (Marseille) sea-level datum (French Mediterranean MSL)",0.01,,Kim Cohen,Kim Cohen,2020-04-02 05:22:42,Ordnance or geodetic datum
